date;open;close;tickvol
2019.01.02;91.2400;89.2300;18839
2019.01.03;88.6700;86.3000;20177
2019.01.04;87.7500;89.0400;25394
2019.01.07;90.0700;90.3800;17340
2019.01.08;91.2000;90.8100;17571
2019.01.09;90.8800;87.7800;28001
2019.01.10;87.7900;88.2000;17224
2019.01.11;87.5400;88.2600;14980
2019.01.14;86.9700;84.7400;15116
2019.01.15;84.8000;85.5200;20781
2019.01.16;85.6100;85.5100;12565
2019.01.17;85.5400;87.2100;17239
2019.01.18;87.9200;89.4900;14254
2019.01.22;88.8600;88.6900;15064
2019.01.23;88.8400;88.4300;13654
2019.01.24;88.3300;85.8800;21609
2019.01.25;82.5100;80.5700;58902
2019.01.28;80.0300;77.1200;42248
2019.01.29;77.0300;77.4700;39641
2019.01.30;77.6900;79.0700;26440
2019.01.31;78.9500;80.2900;25986
2019.02.01;80.2500;80.4900;21242
2019.02.04;80.3600;78.5200;27373
2019.02.05;78.5600;79.6800;17189
2019.02.06;79.5100;79.0600;12929
2019.02.07;78.3600;79.1900;15469
2019.02.08;79.0300;79.7000;10967
2019.02.11;79.8900;79.7600;8442
2019.02.12;79.9900;79.9200;17682
2019.02.13;80.3400;80.7800;11822
2019.02.14;80.4500;80.5000;9479
2019.02.15;81.1300;80.8500;15386
2019.02.19;80.5000;80.5400;16734
2019.02.20;80.5300;80.0200;13657
2019.02.21;79.7400;78.7500;16764
2019.02.22;79.1600;80.0100;12352
2019.02.25;80.4600;80.3300;11671
2019.02.26;80.2000;80.5000;10516
2019.02.27;80.1300;79.4200;11412
2019.02.28;79.4600;79.2500;14949
2019.03.01;79.7700;80.0900;25455
2019.03.04;80.4000;79.4600;14055
2019.03.05;79.2600;78.9300;15600
2019.03.06;79.0100;78.0800;15688
2019.03.07;77.8300;78.2200;16540
2019.03.08;77.6600;77.5800;16147
2019.03.11;77.9800;78.0800;17399
2019.03.12;78.7800;78.9800;14563
2019.03.13;78.5300;78.9300;15920
2019.03.14;78.4800;80.0000;14821
2019.03.15;79.3600;81.5000;15933
2019.03.18;80.7500;80.6500;10614
2019.03.19;80.6700;80.8200;10127
2019.03.20;80.4800;80.4300;9403
2019.03.21;79.4800;80.3300;11660
2019.03.22;81.4800;79.7600;11350
2019.03.25;78.7400;79.5100;8632
2019.03.26;81.1200;80.7600;12039
2019.03.27;80.4700;79.8900;9751
2019.03.28;80.0500;79.9600;6821
2019.03.29;80.6200;80.7100;12016
2019.04.01;81.0100;80.7600;13507
2019.04.02;80.8900;83.0700;16897
2019.04.03;83.6200;83.0800;16300
2019.04.04;83.0400;82.8100;12821
2019.04.05;82.8200;83.4600;12787
2019.04.08;83.7000;83.9800;9498
2019.04.09;83.7700;82.6900;10779
2019.04.10;83.2000;82.9700;9053
2019.04.11;83.2000;81.7700;15366
2019.04.12;80.6700;80.7800;13396
2019.04.15;80.9600;81.0100;9448
2019.04.16;81.1100;80.2000;10279
2019.04.17;80.1000;77.9800;20120
2019.04.18;78.0600;77.5700;20753
2019.04.22;77.5900;78.1000;15812
2019.04.23;78.1500;78.6300;22925
2019.04.24;79.3500;78.6800;20124
2019.04.25;80.0500;79.3200;33382
2019.04.26;79.6700;79.7000;20206
2019.04.29;80.4800;80.2900;16820
2019.04.30;80.6800;79.2900;15226
2019.05.01;79.6000;78.8800;13428
2019.05.02;78.7300;78.4600;13717
2019.05.03;78.7200;78.6700;12833
2019.05.06;77.7500;79.2600;11636
2019.05.07;78.6000;77.9500;10638
2019.05.08;77.9500;78.0000;8086
2019.05.09;77.5100;77.9000;9843
2019.05.10;77.4500;77.4800;13289
2019.05.13;76.4100;76.8500;9107
2019.05.14;77.1600;78.4300;18670
2019.05.15;78.5100;78.8000;13595
2019.05.16;78.9300;79.4800;15567
2019.05.17;78.5300;79.4400;12144
2019.05.20;79.0200;79.8300;13714
2019.05.21;80.3300;80.8900;14795
2019.05.22;80.5400;81.5900;12773
2019.05.23;80.3900;81.1700;9794
2019.05.24;81.0900;80.0800;11575
2019.05.28;80.0000;77.9700;13698
2019.05.29;77.5700;78.0100;12039
2019.05.30;78.4200;77.6200;10154
2019.05.31;77.3100;76.7000;10542
2019.06.03;76.6300;75.7000;24218
2019.06.04;75.9700;76.8000;15644
2019.06.05;77.4100;77.0600;8911
2019.06.06;77.2900;77.1000;9632
2019.06.07;77.4900;77.4400;10304
2019.06.10;77.4600;76.9600;11478
2019.06.11;77.5000;78.1800;11945
2019.06.12;78.2500;78.6000;8781
2019.06.13;78.9300;78.9400;8025
2019.06.14;78.9500;78.7000;12611
2019.06.17;78.4000;78.6600;7422
2019.06.18;78.8800;78.2500;15512
2019.06.19;78.4000;77.6100;14487
2019.06.20;78.2400;78.3400;11705
2019.06.21;78.2800;78.8100;14858
2019.06.24;78.7200;78.4100;10181
2019.06.25;70.4700;65.5900;193586
2019.06.26;67.2400;68.0000;79704
2019.06.27;68.1600;69.9900;58918
2019.06.28;70.5800;72.7100;56553
2019.07.01;73.5000;73.4400;53066
2019.07.02;73.1000;74.2300;35999
2019.07.03;74.3500;74.8000;23728
2019.07.05;74.6500;72.9500;29309
2019.07.08;72.5200;71.2000;34727
2019.07.09;71.1800;71.2300;26521
2019.07.10;71.5800;71.6100;22232
2019.07.11;72.3000;71.2300;36583
2019.07.12;70.3000;70.2000;30676
2019.07.15;70.3600;70.2900;23854
2019.07.16;70.1500;69.1700;24122
2019.07.17;69.3500;68.3200;23745
2019.07.18;68.5700;68.2600;23330
2019.07.19;68.1400;68.5100;22459
2019.07.22;68.5000;68.0300;20929
2019.07.23;68.0000;67.7300;20373
2019.07.24;67.7300;67.4900;26484
2019.07.25;67.4800;66.6800;30521
2019.07.26;67.6300;67.7700;33517
2019.07.29;67.8900;67.1700;24866
2019.07.30;66.9200;67.2000;21106
2019.07.31;66.9100;66.5900;22108
2019.08.01;66.9300;65.8000;34020
2019.08.02;65.5000;65.3400;22017
2019.08.05;64.9700;65.2200;29621
2019.08.06;65.2500;64.7700;25243
2019.08.07;64.3200;64.4700;21694
2019.08.08;64.6700;65.4500;17082
2019.08.09;65.3700;65.5900;25154
2019.08.12;65.2500;64.5300;16374
2019.08.13;64.7000;65.0000;19171
2019.08.14;64.5000;63.5100;22171
2019.08.15;63.9800;62.9400;20477
2019.08.16;63.5000;64.4500;22407
2019.08.19;64.9800;66.5200;26663
2019.08.20;67.3800;66.4100;34715
2019.08.21;67.3100;67.5500;20119
2019.08.22;67.8000;67.5500;16727
2019.08.23;67.2800;66.0000;21308
2019.08.26;66.4300;66.4500;13525
2019.08.27;66.6700;65.6300;19906
