date;open;close;tickvol
2020.12.10;146.9500;144.1300;156558
2020.12.11;146.5500;139.2500;60770
2020.12.14;134.9200;129.9600;42719
2020.12.15;126.6900;124.6800;26823
2020.12.16;125.9100;138.0100;50172
2020.12.17;143.0000;147.2900;36025
2020.12.18;150.4500;157.4700;32628
2020.12.21;155.4000;162.8700;42569
2020.12.22;170.0000;163.1400;25950
2020.12.23;162.9300;158.1900;15307
2020.12.24;159.4300;155.7000;9295
2020.12.28;158.6000;148.8900;17440
2020.12.29;150.4500;150.0000;13827
2020.12.30;151.2400;148.3200;8410
2020.12.31;146.9000;146.6500;7422
2021.01.04;150.8500;139.0600;16673
2021.01.05;138.3800;148.5700;17048
2021.01.06;145.8800;142.8400;11254
2021.01.07;146.3700;151.4000;11847
2021.01.08;153.9000;149.5800;12742
2021.01.11;147.2300;148.2400;8160
2021.01.12;148.3300;160.7500;22993
2021.01.13;160.8000;170.0500;34666
2021.01.14;175.4000;180.5000;27713
2021.01.15;184.4500;169.5200;26809
2021.01.19;173.0000;173.8100;12925
2021.01.20;176.0300;161.8300;18581
2021.01.21;164.9700;180.4100;47121
2021.01.22;178.0500;181.8700;19057
2021.01.25;186.0200;177.5000;22075
2021.01.26;179.9200;193.0000;18424
2021.01.27;186.7000;201.6900;35205
2021.01.28;203.0000;187.3700;19717
2021.01.29;190.7500;183.8600;11764
2021.02.01;187.4800;180.3900;10735
2021.02.02;183.2200;179.1900;12034
2021.02.03;181.8100;185.5800;11046
2021.02.04;187.0200;195.5400;10722
2021.02.05;197.0100;195.2100;7479
2021.02.08;199.7100;200.4300;9323
2021.02.09;199.9800;199.8800;13958
2021.02.10;205.9700;211.5300;15479
2021.02.11;213.4000;216.7400;11060
2021.02.12;214.2000;212.5600;8384
2021.02.16;215.9900;209.7000;8719
2021.02.17;208.4900;201.9900;11535
2021.02.18;199.0100;197.6900;9188
2021.02.19;203.9900;200.9400;7700
2021.02.22;200.5700;195.2900;12175
2021.02.23;189.0000;187.4000;19012
2021.02.24;190.6900;200.0400;18671
2021.02.25;198.7900;181.8300;32951
2021.02.26;194.1600;206.2300;53512
2021.03.01;195.8500;196.0000;33164
2021.03.02;195.5500;189.9000;22192
2021.03.03;186.9700;180.4100;27671
2021.03.04;178.9600;180.2300;28234
2021.03.05;181.8900;179.8500;23850
2021.03.08;179.9900;180.8200;12204
2021.03.09;184.9900;182.9000;14300
2021.03.10;184.8400;184.0500;14790
2021.03.11;189.8500;197.9400;15471
2021.03.12;196.2700;206.5600;14650
2021.03.15;211.3400;209.8500;6811
2021.03.16;208.1800;199.7800;7779
2021.03.17;201.0500;201.9800;8689
2021.03.18;195.2200;191.5800;7527
2021.03.19;194.5800;194.3700;7025
2021.03.22;199.9900;195.7900;7119
2021.03.23;191.9600;188.4000;8016
2021.03.24;182.6600;179.1000;8448
2021.03.25;176.5200;176.2800;11195
2021.03.26;178.9000;174.8400;9219
2021.03.29;175.4100;182.4000;13949
2021.03.30;182.3500;183.0000;9265
2021.03.31;185.2300;187.8500;10266
2021.04.01;192.5000;188.0600;8679
2021.04.05;191.4000;186.6200;7804
2021.04.06;188.7100;189.9200;9476
2021.04.07;189.5800;179.9200;20337
2021.04.08;181.6500;180.1800;9240
2021.04.09;179.5500;179.5100;10625
