date;open;close;tickvol
2019.01.02;70.3900;69.4800;23097
2019.01.03;68.4300;66.2400;28301
2019.01.04;67.1200;68.1100;23713
2019.01.07;68.1900;69.1400;26084
2019.01.08;69.5500;68.2900;27856
2019.01.09;68.9300;69.4500;18937
2019.01.10;68.8800;69.1200;20206
2019.01.11;68.6000;69.3300;12311
2019.01.14;68.4500;68.2600;12183
2019.01.15;68.4100;70.4800;19293
2019.01.16;70.5000;69.8100;17218
2019.01.17;69.8700;70.5300;17082
2019.01.18;70.9900;71.4300;24931
2019.01.22;70.9700;71.4200;18492
2019.01.23;70.3900;69.9100;25996
2019.01.24;70.0200;70.8600;19069
2019.01.25;71.2500;71.1400;13688
2019.01.28;70.5200;69.0600;18071
2019.01.29;69.0900;69.6900;17980
2019.01.30;69.7700;71.6700;23834
2019.01.31;71.3100;72.9700;27291
2019.02.01;73.0200;72.3800;14303
2019.02.04;72.3900;72.5100;13820
2019.02.05;72.9000;73.1100;13218
2019.02.06;72.9000;73.5100;14832
2019.02.07;72.8500;72.7600;22267
2019.02.08;72.1600;73.3300;15220
2019.02.11;73.4800;73.5500;14687
2019.02.12;73.9800;75.0400;19579
2019.02.13;75.0400;74.3500;17055
2019.02.14;74.0800;73.9600;16037
2019.02.15;74.5600;75.2800;18489
2019.02.19;75.2200;74.9700;12924
2019.02.20;74.8300;75.5500;15913
2019.02.21;75.1100;75.1500;17355
2019.02.22;75.3900;76.1200;13739
2019.02.25;76.3900;76.8500;15858
2019.02.26;76.7500;76.7400;17128
2019.02.27;76.4500;77.2400;17693
2019.02.28;77.0100;77.6100;15264
2019.03.01;77.9900;78.5800;13685
2019.03.04;78.8400;78.6100;17827
2019.03.05;78.5600;78.2100;18668
2019.03.06;78.2100;77.7000;15877
2019.03.07;77.6900;76.8100;16242
2019.03.08;76.3500;76.6100;13023
2019.03.11;77.2400;77.8100;10839
2019.03.12;77.8800;78.2400;9301
2019.03.13;78.7600;78.6200;16287
2019.03.14;78.3200;78.9800;18262
2019.03.15;79.3600;79.8600;18718
2019.03.18;78.2100;78.8000;15060
2019.03.19;79.3700;79.9600;15889
2019.03.20;79.9200;79.9400;11470
2019.03.21;80.1800;80.0600;13711
2019.03.22;78.9500;77.9700;20624
2019.03.25;77.9100;78.2300;8453
2019.03.26;79.2000;79.0000;8458
2019.03.27;78.8900;78.7300;9158
2019.03.28;79.5200;79.4400;11876
2019.03.29;79.6000;79.9400;12435
2019.04.01;80.6400;79.6400;13493
2019.04.02;79.8300;79.6300;11191
2019.04.03;79.9700;79.5100;11922
2019.04.04;79.4700;78.6400;14677
2019.04.05;78.9000;79.0000;11373
2019.04.08;78.9100;78.5300;17004
2019.04.09;78.2400;78.7000;14726
2019.04.10;78.7200;79.0000;13690
2019.04.11;79.1900;78.5100;13200
2019.04.12;78.3700;78.0300;15872
2019.04.15;78.1100;77.5100;18636
2019.04.16;77.9400;76.3500;22916
2019.04.17;76.1800;72.8800;39793
2019.04.18;73.6400;73.9000;33384
2019.04.22;73.0500;74.5000;16171
2019.04.23;74.6300;76.1100;23147
2019.04.24;76.0500;76.7400;17645
2019.04.25;76.6500;78.1100;19112
2019.04.26;78.4600;78.5500;11552
2019.04.29;78.5600;78.2500;9918
2019.04.30;78.2700;79.5700;14518
2019.05.01;79.3500;78.7500;14492
2019.05.02;78.4400;78.7800;14532
2019.05.03;78.8700;78.6300;13238
2019.05.06;77.4200;79.0700;9922
2019.05.07;78.5000;76.9000;14753
2019.05.08;76.9300;76.2300;10626
2019.05.09;75.5900;76.4000;10891
2019.05.10;76.2100;76.4400;10820
2019.05.13;75.1700;75.4500;14514
2019.05.14;75.6400;76.0300;10783
2019.05.15;75.5000;76.5300;11527
2019.05.16;76.5200;76.6000;15592
2019.05.17;76.2900;75.9700;15287
2019.05.20;75.6000;75.7700;12855
2019.05.21;76.5600;76.0500;10317
2019.05.22;76.1400;76.2600;10556
2019.05.23;76.0700;75.6200;16125
2019.05.24;76.0200;77.0000;13742
2019.05.28;77.0300;75.6800;13201
2019.05.29;75.3900;75.6600;12984
2019.05.30;76.0100;76.5300;12700
2019.05.31;75.9100;76.1800;15227
2019.06.03;76.2500;75.7000;16310
2019.06.04;76.2300;77.4600;13410
2019.06.05;77.8400;78.7300;11626
2019.06.06;78.8500;80.1200;15783
2019.06.07;80.4900;80.7200;15478
2019.06.10;81.0000;81.2600;11431
2019.06.11;81.8100;81.1300;12491
2019.06.12;81.2900;81.9700;10211
2019.06.13;81.9800;82.3000;16328
2019.06.14;82.1700;82.2500;13763
2019.06.17;82.3900;82.0500;10955
2019.06.18;82.5400;83.4200;15812
2019.06.19;83.2500;84.3200;8853
2019.06.20;84.8800;84.9700;14382
2019.06.21;85.3600;85.0300;13171
