date;open;close;tickvol
2019.01.02;26.4200;26.1900;2480
2019.01.03;26.1600;25.7800;2890
2019.01.04;25.0700;26.3600;2132
2019.01.07;26.4900;26.3300;2185
2019.01.08;26.4000;26.4500;2445
2019.01.09;26.8000;26.7700;1954
2019.01.10;26.8400;27.1200;1621
2019.01.11;26.9000;26.7000;3387
2019.01.14;26.5000;26.9100;2415
2019.01.15;26.8600;27.6000;4689
2019.01.16;27.6700;27.8600;2549
2019.01.17;27.7500;28.2500;3264
2019.01.18;28.4600;28.5000;2657
2019.01.22;28.4000;28.4400;2076
2019.01.23;28.4200;28.5900;2248
2019.01.24;28.6200;28.8100;3379
2019.01.25;28.9600;28.8400;2478
2019.01.28;28.7400;28.7500;2071
2019.01.29;28.8400;28.7900;1928
2019.01.30;28.9000;29.2700;3248
2019.01.31;29.2000;29.3700;2217
2019.02.01;29.4700;29.7400;2142
2019.02.04;29.6700;29.9700;1409
2019.02.05;29.7400;30.2900;2090
2019.02.06;30.3300;30.2700;2056
2019.02.07;30.2600;30.3800;1799
2019.02.08;30.2300;30.3000;2061
2019.02.11;30.3000;30.3400;2484
2019.02.12;30.4300;30.8300;4843
2019.02.13;30.9900;31.9500;8869
2019.02.14;31.7900;31.1100;6185
2019.02.15;31.5800;31.4800;5259
2019.02.19;31.4000;32.0700;4032
2019.02.20;32.0000;32.3200;2721
2019.02.21;32.3300;32.3000;2776
2019.02.22;32.2900;32.3000;2203
2019.02.25;32.4300;32.2700;1900
2019.02.26;32.1300;32.3900;2649
2019.02.27;31.8300;32.3800;1740
2019.02.28;32.2900;32.6800;3514
2019.03.01;32.8200;32.8600;2649
2019.03.04;33.0000;32.9300;2777
2019.03.05;32.9600;32.8300;2270
2019.03.06;32.8500;32.5900;2046
2019.03.07;32.6700;32.2500;3316
2019.03.08;31.8000;32.0700;2939
2019.03.11;32.4100;32.3800;2135
2019.03.12;32.5700;32.4100;3356
2019.03.13;32.6300;32.4200;1518
2019.03.14;32.4000;32.5500;2070
2019.03.15;32.8600;32.8700;1888
2019.03.18;32.9000;32.8000;2355
2019.03.19;32.8600;32.3600;2966
2019.03.20;32.2300;31.9800;1998
2019.03.21;32.1800;32.2900;3313
2019.03.22;32.2500;32.0600;2817
2019.03.25;32.1200;31.9700;2347
2019.03.26;32.1300;31.9600;3067
2019.03.27;32.1800;32.0700;8588
2019.03.28;32.0400;32.0000;2249
2019.03.29;32.2000;32.3200;3757
2019.04.01;32.5700;32.6800;3687
2019.04.02;32.6300;32.4100;2396
2019.04.03;32.4400;32.5000;2911
2019.04.04;32.4500;32.4700;2471
2019.04.05;32.4200;32.6100;2303
2019.04.08;32.4600;32.6900;1995
2019.04.09;32.4600;32.1100;2780
2019.04.10;32.3900;32.3100;4144
2019.04.11;32.4300;32.6300;4208
2019.04.12;32.8000;32.8800;2050
2019.04.15;32.9100;32.5200;1882
2019.04.16;32.7200;32.8900;3433
2019.04.17;32.8700;32.6400;1823
2019.04.18;32.6900;32.5800;2080
2019.04.22;32.3300;32.1900;3095
2019.04.23;32.4100;32.7600;2763
2019.04.24;32.7900;32.7500;3436
2019.04.25;32.5000;32.8600;3340
2019.04.26;32.7900;32.9900;4490
2019.04.29;33.0100;33.3000;3711
2019.04.30;34.5800;33.7800;5258
2019.05.01;34.0500;33.8600;4563
2019.05.02;34.1100;33.8500;3564
2019.05.03;34.0300;34.1400;2275
2019.05.06;33.8100;34.1100;2471
2019.05.07;33.7600;33.6300;3382
2019.05.08;33.4400;33.5200;4011
2019.05.09;33.4200;33.4100;2147
2019.05.10;33.2900;33.9900;2306
2019.05.13;33.6600;33.3300;3859
2019.05.14;33.3900;33.9100;5789
2019.05.15;33.8200;34.0500;3524
2019.05.16;34.1400;34.5100;4741
2019.05.17;34.5300;33.7700;6514
2019.05.20;33.7400;33.8500;3279
2019.05.21;33.8700;34.4300;3955
2019.05.22;34.2000;34.8700;3823
2019.05.23;34.5600;34.4300;1978
2019.05.24;34.6700;34.3900;1960
2019.05.28;34.3300;33.9600;4244
2019.05.29;33.8000;34.2400;5022
2019.05.30;34.6000;34.2900;3531
2019.05.31;34.2700;34.4400;4163
2019.06.03;34.4200;34.9600;4384
2019.06.04;35.1000;34.8900;4748
2019.06.05;34.8300;35.4000;5462
2019.06.06;35.4700;35.5800;3761
2019.06.07;35.5000;35.6400;4627
2019.06.10;35.6400;35.4200;3322
2019.06.11;35.4400;35.0100;3100
2019.06.12;35.0200;35.0500;3357
2019.06.13;35.1700;35.0600;4918
2019.06.14;35.0400;35.5500;6025
2019.06.17;35.6900;35.5000;2067
2019.06.18;35.5400;35.8200;2118
2019.06.19;35.7700;36.1000;2463
2019.06.20;36.2400;36.4300;3424
2019.06.21;36.3300;36.4600;3702
2019.06.24;36.3800;36.2200;3227
2019.06.25;36.1500;35.9300;2222
2019.06.26;36.2600;35.2500;3233
2019.06.27;35.8000;36.1900;6343
2019.06.28;36.4800;37.1500;5878
2019.07.01;37.6500;37.8400;4950
2019.07.02;37.7800;37.6300;2933
2019.07.03;37.7700;37.9400;2531
2019.07.05;37.6800;38.0000;3833
2019.07.08;37.8400;37.9600;2611
2019.07.09;37.9600;38.4500;4233
2019.07.10;38.4500;38.4700;3841
2019.07.11;38.5000;38.3700;2593
2019.07.12;38.4000;38.2900;3889
2019.07.15;38.3400;38.4000;3372
2019.07.16;38.4200;38.5200;2082
2019.07.17;38.4600;38.1300;2373
2019.07.18;38.0200;38.2500;3489
2019.07.19;38.0900;37.5500;3064
2019.07.22;37.7200;37.4200;3252
2019.07.23;37.3800;37.5500;1961
2019.07.24;37.3200;37.7800;2841
2019.07.25;37.6500;38.0200;2123
2019.07.26;37.9600;38.2100;3970
2019.07.29;38.2000;38.2100;6328
2019.07.30;38.2600;39.5500;9703
2019.07.31;39.6900;38.6700;8163
2019.08.01;38.9700;38.5500;3811
2019.08.02;38.9900;38.7600;3302
2019.08.05;38.4500;37.7600;5413
2019.08.06;37.8600;38.8700;6087
2019.08.07;38.5400;39.2600;6476
2019.08.08;39.2400;39.4500;5943
2019.08.09;39.4000;39.3700;4383
2019.08.12;39.4300;38.9800;3579
2019.08.13;38.9400;39.4500;3086
2019.08.14;38.8300;38.3400;2376
2019.08.15;38.7200;38.9000;2473
2019.08.16;39.3700;39.7700;3045
2019.08.19;39.9500;40.0700;2826
2019.08.20;39.9100;39.7500;1977
2019.08.21;39.7400;39.8300;1795
2019.08.22;39.7600;39.5700;2792
