date;open;close;tickvol
2019.01.02;138.9300;140.5900;6619
2019.01.03;138.8700;135.8200;9260
2019.01.04;138.1200;141.0600;6400
2019.01.07;140.8300;141.6100;5764
2019.01.08;145.1300;145.1800;7729
2019.01.09;145.2600;145.8600;7319
2019.01.10;144.6600;147.0000;4945
2019.01.11;143.0100;146.2200;7124
2019.01.14;144.5600;144.9300;3667
2019.01.15;145.0800;146.9100;4452
2019.01.16;148.7800;147.8800;7872
2019.01.17;147.2400;149.1300;5014
2019.01.18;150.0000;150.4500;6862
2019.01.22;149.5100;148.9700;4837
2019.01.23;149.8600;148.4300;5295
2019.01.24;148.8100;150.1700;5951
2019.01.25;151.5800;151.8500;4494
2019.01.28;150.7200;152.2300;5612
2019.01.29;152.0200;152.0100;6647
2019.01.30;152.5200;154.0900;4135
2019.01.31;153.5000;153.5600;5444
2019.02.01;154.2500;154.5100;4021
2019.02.04;155.0000;156.5900;4223
2019.02.05;156.7500;157.3500;4847
2019.02.06;157.1500;157.1700;3811
2019.02.07;155.8500;155.1800;5614
2019.02.08;154.1500;155.5500;7490
2019.02.11;156.0000;155.3200;4076
2019.02.12;156.0300;156.5800;5034
2019.02.13;157.0000;157.9700;5649
2019.02.14;157.7200;157.8100;4858
2019.02.15;159.0000;159.2000;7247
2019.02.19;158.6700;159.4900;5231
2019.02.20;159.7800;159.7500;4155
2019.02.21;159.7100;159.5800;5501
2019.02.22;160.1800;161.5300;5546
2019.02.25;162.0600;161.6200;3360
2019.02.26;161.6200;161.3400;3654
2019.02.27;160.8500;160.6400;4327
2019.02.28;160.9000;161.4100;4027
2019.03.01;163.0000;164.1500;5445
2019.03.04;164.7500;162.8900;5029
2019.03.05;162.9700;163.6700;4910
2019.03.06;164.0600;162.4000;5831
2019.03.07;162.2100;161.8400;5117
2019.03.08;161.0000;161.6900;4077
2019.03.11;163.2500;163.9400;2764
2019.03.12;164.9000;163.9900;7170
2019.03.13;164.5000;164.1100;6081
2019.03.14;164.2400;164.8200;6121
2019.03.15;166.1800;166.2300;6706
2019.03.18;166.6600;166.4300;3638
2019.03.19;166.5700;166.2000;4910
2019.03.20;166.0000;166.2700;5089
2019.03.21;167.2400;168.2400;4012
2019.03.22;166.8900;165.2400;3780
2019.03.25;164.5000;165.0800;5739
2019.03.26;167.0300;166.9400;4445
2019.03.27;167.3400;166.4700;6957
2019.03.28;177.2200;177.2500;11091
2019.03.29;176.2000;176.0200;7292
2019.04.01;175.5000;176.2900;8731
2019.04.02;175.8300;175.3500;6318
2019.04.03;175.9000;177.2100;5858
2019.04.04;177.1900;177.1500;5894
