date;open;close;tickvol
2019.01.02;219.9900;224.4800;7340
2019.01.03;220.8600;215.5900;10742
2019.01.04;219.9200;226.2900;11599
2019.01.07;229.8600;229.2300;10186
2019.01.08;232.7000;232.6900;10617
2019.01.09;234.0000;235.4200;8573
2019.01.10;233.3100;237.7400;7609
2019.01.11;235.6000;237.5500;9114
2019.01.14;235.3400;234.5800;6760
2019.01.15;238.0000;242.3600;9823
2019.01.16;243.6600;242.0000;6344
2019.01.17;240.0000;244.3900;9190
2019.01.18;247.4800;247.5100;10024
2019.01.22;245.2000;243.9600;7737
2019.01.23;244.9100;245.1200;5730
2019.01.24;245.7900;242.5000;10117
2019.01.25;244.9900;244.9500;11389
2019.01.28;241.6000;241.8400;6558
2019.01.29;241.6600;238.3300;5550
2019.01.30;240.0800;242.6100;6764
2019.01.31;243.1400;247.8300;13518
2019.02.01;248.0000;247.3500;7627
2019.02.04;248.1500;254.7300;10437
2019.02.05;256.1900;254.9800;8428
2019.02.06;255.0000;254.3500;5889
2019.02.07;251.3200;253.7600;5691
2019.02.08;251.0100;257.0300;8079
2019.02.11;259.0200;258.4000;8466
2019.02.12;260.4100;261.3100;8677
2019.02.13;263.2700;260.2200;5215
2019.02.14;259.4000;260.1400;4433
2019.02.15;260.3100;259.4500;7772
2019.02.19;258.7300;257.8500;5990
2019.02.20;258.4000;258.2000;6486
2019.02.21;257.0000;257.7800;4404
2019.02.22;257.7200;258.8200;4940
2019.02.25;261.4700;258.6600;5022
2019.02.26;257.6100;261.2400;6151
2019.02.27;259.7600;262.9900;7458
2019.02.28;262.3900;262.5100;7327
2019.03.01;265.4900;264.0100;5507
2019.03.04;266.2100;258.2000;9834
2019.03.05;259.0500;257.3900;6358
2019.03.06;257.4800;256.4000;6038
2019.03.07;255.0000;255.4500;8094
2019.03.08;251.2700;254.7600;5961
2019.03.11;257.6800;260.9600;7516
2019.03.12;260.6600;263.5100;6803
2019.03.13;268.1000;264.5500;8347
