date;open;close;tickvol
2019.01.02;129.4800;130.1400;5006
2019.01.03;128.9400;126.1800;6139
2019.01.04;128.3800;131.2600;4309
2019.01.07;131.0600;130.5300;6983
2019.01.08;132.4300;131.3000;5787
2019.01.09;131.7200;131.4300;5655
2019.01.10;130.5100;132.4600;2671
2019.01.11;131.7900;131.6500;3443
2019.01.14;130.2700;130.8600;4618
2019.01.15;130.9600;132.3300;9100
2019.01.16;132.7000;132.7500;6399
2019.01.17;132.1300;132.9300;5949
2019.01.18;134.1200;135.2200;6137
2019.01.22;133.5400;133.2200;5570
2019.01.23;133.2600;134.4200;6170
2019.01.24;134.6100;134.7200;5478
2019.01.25;135.9000;136.4300;5001
2019.01.28;134.8000;135.5500;6535
2019.01.29;135.7300;133.9800;6094
2019.01.30;137.5000;139.3600;14490
2019.01.31;139.1900;139.8300;15782
2019.02.01;139.7200;141.6300;10461
2019.02.04;141.7700;143.6200;10770
2019.02.05;145.0500;145.2900;9504
2019.02.06;145.0000;145.5300;5705
2019.02.07;144.0200;145.6600;8242
2019.02.08;144.4800;146.8500;5412
2019.02.11;147.3300;147.5100;6996
2019.02.12;148.5300;149.4800;7125
2019.02.13;150.0000;150.4900;6842
2019.02.14;149.6300;148.1400;9284
2019.02.15;149.2400;149.6500;7346
2019.02.19;149.2900;150.3100;4536
2019.02.20;150.4100;150.6100;4521
2019.02.21;150.1300;150.9900;4038
2019.02.22;151.6600;153.1800;5355
2019.02.25;154.0100;152.4900;3721
2019.02.26;152.5300;152.8600;4564
2019.02.27;152.1400;152.9600;3995
2019.02.28;152.6700;153.0500;5162
2019.03.01;154.0900;153.8800;6363
2019.03.04;153.8000;153.3000;14427
2019.03.05;153.3100;152.6600;9407
2019.03.06;152.4600;152.5300;4689
2019.03.07;151.4500;150.4000;7546
2019.03.08;149.1200;149.2500;4988
2019.03.11;149.6900;151.0900;4718
2019.03.12;151.5900;151.9900;5114
2019.03.13;152.8800;152.8400;3674
2019.03.14;152.8400;153.2100;4030
2019.03.15;154.1100;155.3100;5969
2019.03.18;155.0000;154.6900;3455
2019.03.19;154.6400;154.6300;3131
2019.03.20;154.6000;153.8400;4836
2019.03.21;154.2300;155.3400;4797
2019.03.22;155.0200;153.8100;3589
2019.03.25;153.1400;153.7500;2474
