date;open;close;tickvol
2019.01.02;124.9700;128.9200;4193
2019.01.03;126.3200;121.8000;9147
2019.01.04;123.8100;128.2900;9989
2019.01.07;128.7100;132.7000;3873
2019.01.08;134.9400;133.8700;3629
2019.01.09;134.3700;136.7800;6614
2019.01.10;135.2500;136.7400;4992
2019.01.11;135.8900;136.7400;2366
2019.01.14;135.4400;134.7200;2545
2019.01.15;131.8800;135.8800;5642
2019.01.16;136.3400;135.3200;4791
2019.01.17;134.6500;136.5100;5812
2019.01.18;138.3000;141.7600;9787
2019.01.22;140.2500;139.0600;7272
2019.01.23;139.4900;137.4900;5535
2019.01.24;136.0200;136.0500;5784
2019.01.25;138.1800;142.0700;6400
2019.01.28;140.6500;140.8100;3597
2019.01.29;139.0100;140.1600;2593
2019.01.30;142.0000;146.0000;4450
2019.01.31;146.0200;147.2200;4590
2019.02.01;147.6700;149.0800;4480
2019.02.04;149.0800;151.5900;5217
2019.02.05;152.0100;152.4200;5103
2019.02.06;151.9500;152.3200;4485
2019.02.07;150.7900;150.5700;5689
2019.02.08;149.5900;154.3000;4235
2019.02.11;155.0000;154.6200;4815
2019.02.12;156.0100;159.5400;5908
2019.02.13;160.0000;160.0300;6172
2019.02.14;159.1600;159.9500;4381
2019.02.15;160.8900;160.3500;5632
2019.02.19;160.4500;160.6800;4787
2019.02.20;161.1800;159.8800;3946
2019.02.21;159.0800;159.8200;3763
2019.02.22;160.8700;161.4900;2825
2019.02.25;163.5400;163.9400;6948
2019.02.26;163.5000;163.2900;6350
2019.02.27;162.5000;164.2800;5967
2019.02.28;164.4600;163.0400;6566
2019.03.01;168.0000;159.7800;13491
2019.03.04;161.3200;157.8500;13112
2019.03.05;157.8000;154.6700;7880
2019.03.06;154.9900;153.5200;7315
2019.03.07;153.0100;152.6700;8712
2019.03.08;150.2600;152.3300;5776
2019.03.11;153.5600;154.0400;5782
2019.03.12;153.3400;155.5000;3541
2019.03.13;155.5100;153.3800;4241
2019.03.14;153.8600;153.1500;4769
2019.03.15;153.8800;153.3000;5441
2019.03.18;154.4000;153.8500;3467
2019.03.19;153.7500;155.1000;4716
2019.03.20;153.9600;154.3100;3721
2019.03.21;156.7300;158.8200;3768
2019.03.22;157.6500;154.2200;4750
2019.03.25;153.6200;154.6900;4959
2019.03.26;156.5600;155.9100;3845
2019.03.27;155.2000;153.1000;4397
2019.03.28;153.7500;153.0300;4678
2019.03.29;155.3100;155.8200;4498
2019.04.01;157.3400;163.8200;10153
2019.04.02;163.5000;164.3600;5792
2019.04.03;165.0000;166.6600;7237
2019.04.04;166.6700;165.0700;8377
2019.04.05;165.6600;166.3000;4440
2019.04.08;166.0000;166.7100;4370
2019.04.09;166.7400;167.0500;3977
2019.04.10;167.2400;170.4500;5513
2019.04.11;171.3100;171.9400;5534
2019.04.12;173.1000;171.9000;4210
2019.04.15;172.1600;172.7800;3017
2019.04.16;173.4000;172.6300;5343
2019.04.17;173.1600;168.1000;6144
2019.04.18;168.0300;169.1700;5943
2019.04.22;168.2000;172.2000;4070
2019.04.23;172.8600;175.2300;4865
2019.04.24;175.6800;176.3000;3762
2019.04.25;176.9300;175.1400;5184
2019.04.26;175.7800;177.0600;3812
2019.04.29;177.1400;176.6000;3493
2019.04.30;176.7100;178.2400;3272
2019.05.01;178.9500;173.9600;4724
2019.05.02;173.9900;173.3300;3387
2019.05.03;174.8800;176.6900;3210
2019.05.06;171.8700;175.2500;4310
2019.05.07;172.9200;170.7100;5530
2019.05.08;170.0500;171.4900;3432
2019.05.09;169.2300;171.4400;3193
2019.05.10;170.1800;173.8100;3812
2019.05.13;168.6400;164.8700;5423
2019.05.14;166.1400;169.9400;3643
2019.05.15;168.9900;173.3400;4918
2019.05.16;174.0100;176.6600;4426
2019.05.17;174.9300;174.3000;4061
2019.05.20;172.4100;170.6100;6191
2019.05.21;172.7600;174.1900;5382
2019.05.22;174.3100;174.0100;4006
2019.05.23;170.2000;169.6100;8402
2019.05.24;160.6700;161.2200;22978
2019.05.28;161.7000;161.0700;9175
2019.05.29;160.0600;161.4700;7878
2019.05.30;161.8300;162.6200;3440
2019.05.31;160.5700;160.9100;6644
2019.06.03;160.8000;154.7900;9258
2019.06.04;157.2000;159.9000;6169
2019.06.05;161.4600;161.3100;3421
2019.06.06;161.2600;161.2200;4497
2019.06.07;162.1700;165.3100;4817
2019.06.10;166.8900;165.1300;5266
2019.06.11;166.9900;163.2100;4554
2019.06.12;163.5600;163.7200;3116
2019.06.13;163.9700;162.2800;3889
2019.06.14;163.0000;158.1400;5242
2019.06.17;158.3600;157.3800;4156
2019.06.18;159.8700;161.9200;4945
2019.06.19;163.0000;165.6100;7719
2019.06.20;167.8900;169.4300;5792
2019.06.21;169.0000;170.8200;4706
2019.06.24;171.4700;168.5700;5396
2019.06.25;169.2200;163.1600;5441
2019.06.26;165.8100;162.4700;3491
2019.06.27;163.0700;165.2900;5816
2019.06.28;166.0000;162.8900;5813
2019.07.01;165.5200;169.2500;6912
2019.07.02;168.8100;170.0800;2510
2019.07.03;170.4900;171.9000;1806
2019.07.05;170.0500;172.2400;3498
2019.07.08;171.3900;169.8700;6002
2019.07.09;168.6600;171.3300;3939
2019.07.10;172.2800;172.7400;4417
2019.07.11;173.1900;173.3400;3588
2019.07.12;173.9400;174.1800;2192
2019.07.15;174.9000;173.7000;2441
2019.07.16;174.1100;171.0200;3837
2019.07.17;170.5300;171.6300;3768
2019.07.18;171.5000;172.3600;3136
2019.07.19;173.0200;169.3200;3532
2019.07.22;170.3100;170.3600;2912
2019.07.23;171.0000;169.7700;3218
2019.07.24;169.2600;173.4900;3697
2019.07.25;171.9700;169.9200;6251
2019.07.26;170.1200;167.9500;4156
2019.07.29;168.5100;162.7400;7359
2019.07.30;161.1700;160.3000;4123
2019.07.31;160.6000;156.1700;5789
2019.08.01;156.1500;153.4700;9471
2019.08.02;153.2700;147.7100;14573
2019.08.05;143.4200;143.5700;12913
2019.08.06;145.0100;143.6600;8298
2019.08.07;141.8300;144.1600;6557
2019.08.08;146.5100;152.1000;11503
2019.08.09;151.0000;151.3300;7396
2019.08.12;149.0800;148.8000;8643
2019.08.13;148.2500;151.8400;6093
2019.08.14;148.6700;146.8500;7021
2019.08.15;144.9400;142.9000;9693
2019.08.16;144.2000;144.1300;6657
2019.08.19;146.8700;146.1700;5760
2019.08.20;146.1700;146.6300;3978
2019.08.21;147.9900;145.9300;6324
2019.08.22;145.5200;145.2100;8535
2019.08.23;145.5000;144.1300;8931
2019.08.26;145.7800;147.8300;6192
2019.08.27;149.1700;150.2400;10727
2019.08.28;131.4300;140.0700;63332
2019.08.29;142.0200;142.6300;11955
2019.08.30;143.5200;142.8200;10201
2019.09.03;141.5000;141.1500;8894
2019.09.04;142.5500;144.3400;6968
