date;open;close;tickvol
2026.02.18;219.1400;219.5300;759
2026.02.19;217.8600;222.9600;703
2026.02.20;223.6000;224.3200;389
2026.02.23;224.2000;218.3400;921
2026.02.24;216.2700;222.8400;913
2026.02.25;221.6000;224.0100;1199
2026.02.26;224.6000;227.6400;122
2026.02.27;229.8400;229.6800;649
2026.03.02;229.2600;233.5600;656
2026.03.03;232.4300;232.9000;601
2026.03.04;230.0100;231.8400;864
2026.03.05;230.9600;227.2000;825
2026.03.06;223.4600;222.9700;468
2026.03.09;221.1100;219.5400;679
2026.03.10;218.8000;219.7300;492
2026.03.11;218.1100;216.6600;511
2026.03.12;213.3700;215.2900;566
2026.03.13;216.3000;218.5800;439
2026.03.16;218.9000;222.1700;602
2026.03.17;225.1400;217.2500;796
2026.03.18;215.5300;211.9800;875
2026.03.19;211.7500;211.8900;612
2026.03.20;212.7500;212.8100;368
2026.03.23;216.7900;217.4500;531
2026.03.24;216.3600;217.3600;321
2026.03.25;222.0000;217.0200;540
2026.03.26;217.1000;217.5000;407
2026.03.27;217.7400;213.2100;388
2026.03.30;215.2300;216.1400;375
2026.03.31;217.2500;217.7600;396
2026.04.01;216.7200;216.2100;395
2026.04.02;216.3900;218.1600;471
2026.04.06;216.7600;217.9600;339
2026.04.07;216.7400;218.8500;341
2026.04.08;218.7100;223.7700;448
2026.04.09;222.7400;223.2300;449
2026.04.10;222.8800;219.3400;444
2026.04.13;219.5000;222.3600;458
2026.04.14;220.9500;222.2800;317
2026.04.15;222.6400;224.0400;428
2026.04.16;225.2700;224.5500;382
2026.04.17;226.0000;227.8200;377
2026.04.20;228.4900;226.2600;317
2026.04.21;226.9300;228.9700;668
2026.04.22;227.3900;229.0800;510
2026.04.23;230.8200;230.4700;763
2026.04.24;229.8100;229.7400;947
2026.04.27;230.1900;232.7400;579
2026.04.28;236.0000;235.3700;756
2026.04.29;233.1900;232.7600;665
2026.04.30;230.3600;236.2600;809
2026.05.01;237.8400;231.3900;1361
2026.05.04;229.7000;229.0700;1548
2026.05.05;228.9500;237.1200;1542
2026.05.06;237.7900;236.8300;1434
2026.05.07;235.6900;233.7000;790
2026.05.08;233.5600;239.6700;942
2026.05.11;241.1900;244.2600;833
2026.05.12;246.8200;243.5300;739
2026.05.13;242.3000;242.6500;667
2026.05.14;250.0000;252.7300;1186
2026.05.15;253.1300;254.5000;761
2026.05.18;254.1400;258.0900;1114
2026.05.19;256.6500;256.5900;831
2026.05.20;254.8800;256.1500;458
2026.05.21;252.3200;255.6500;690
2026.05.22;255.9000;254.9700;357
2026.05.26;254.7500;256.0700;283
2026.05.27;255.1000;251.9600;494
2026.05.28;250.3000;247.3900;514
2026.05.29;246.6900;248.8900;1126
2026.06.01;248.7900;248.9200;808
2026.06.02;250.7900;248.5200;1093
2026.06.03;248.8700;248.5800;967
2026.06.04;252.7200;251.6700;832
2026.06.05;254.4600;257.5000;1174
2026.06.08;255.3700;252.0200;769
2026.06.09;253.1400;251.0700;669
2026.06.10;252.8800;257.3300;619
2026.06.11;258.3200;258.5100;314
2026.06.12;258.6600;260.8900;347
2026.06.15;260.6400;259.4500;542
2026.06.16;262.1200;260.5500;460
2026.06.17;261.7900;262.0500;493
2026.06.18;263.0400;259.9300;566
2026.06.22;261.1700;261.6700;304
2026.06.23;263.3200;265.3500;428
2026.06.24;268.6700;263.9000;553
2026.06.25;265.2000;260.8500;410
2026.06.26;264.0600;264.4300;459
2026.06.29;263.2300;267.9100;425
2026.06.30;268.2100;268.3800;490
2026.07.01;270.7700;274.2700;430
2026.07.02;275.5900;279.4800;451
2026.07.06;280.2600;279.1600;436
2026.07.07;280.7000;280.1300;339
2026.07.08;280.3200;278.0400;444
2026.07.09;279.0100;279.1700;745
2026.07.10;282.0000;278.9500;910
2026.07.13;280.5400;279.8100;462
