date;open;close;tickvol
2019.01.02;72.6600;71.8900;2833
2019.01.03;71.6400;70.5400;3195
2019.01.04;71.3000;72.3100;3704
2019.01.07;71.9600;72.1200;2687
2019.01.08;72.7900;72.4400;2576
2019.01.09;72.8500;73.2700;4879
2019.01.10;72.9300;73.6900;1639
2019.01.11;73.2700;72.7100;2931
2019.01.14;72.3900;72.6600;3266
2019.01.15;72.6500;72.9300;2514
2019.01.16;73.0000;73.7200;3432
2019.01.17;73.3300;73.8900;2294
2019.01.18;74.1400;74.4100;2724
2019.01.22;74.2300;73.3700;3499
2019.01.23;73.5500;73.7000;2392
2019.01.24;73.6200;73.5100;3567
2019.01.25;73.9600;73.4800;3784
2019.01.28;73.1200;72.9900;2619
2019.01.29;72.9200;71.8900;4701
2019.01.30;72.1100;72.8800;3986
2019.01.31;73.0000;74.6700;5640
2019.02.01;75.0000;76.8600;8929
2019.02.04;76.7500;77.2100;5219
2019.02.05;77.2200;78.4500;5594
2019.02.06;78.4300;78.4000;6270
2019.02.07;77.9200;78.0100;3557
2019.02.08;77.6100;78.8400;2836
2019.02.11;78.9600;79.8700;2792
2019.02.12;80.2100;79.6700;3887
2019.02.13;79.7700;79.5500;3000
2019.02.14;79.0100;78.8800;3771
2019.02.15;79.5700;79.8500;2605
2019.02.19;79.6500;80.3600;2052
2019.02.20;80.6000;80.5000;2205
2019.02.21;80.5800;80.6400;3011
2019.02.22;80.9000;80.5900;3363
2019.02.25;80.8700;80.3500;1924
2019.02.26;80.1600;79.8900;2385
2019.02.27;79.6600;80.5100;2856
2019.02.28;80.2500;80.2700;3238
2019.03.01;80.6200;80.3200;2829
2019.03.04;80.4200;79.6100;2193
2019.03.05;79.8000;79.9900;6374
2019.03.06;80.0800;78.8900;4030
2019.03.07;78.8000;78.2400;4171
2019.03.08;77.7900;77.9100;2747
2019.03.11;78.6400;79.0400;4485
2019.03.12;79.3000;79.0700;3583
2019.03.13;79.3600;79.0600;2806
2019.03.14;79.0500;79.5900;2321
2019.03.15;79.7300;80.2100;4050
2019.03.18;80.0100;79.5300;2787
2019.03.19;79.4400;79.2300;2949
2019.03.20;79.2400;77.8200;3644
2019.03.21;78.2900;78.9000;2127
2019.03.22;78.9300;78.8800;3022
2019.03.25;78.6200;78.6000;1752
2019.03.26;79.1300;78.6900;2316
2019.03.27;78.7000;78.2200;1940
2019.03.28;78.1800;77.1300;6971
2019.03.29;77.5900;78.1000;5530
2019.04.01;78.7500;79.0300;3492
2019.04.02;79.1500;78.5700;1865
2019.04.03;78.9700;78.3700;2151
2019.04.04;78.5600;78.6700;1932
2019.04.05;78.6300;78.3000;3523
2019.04.08;78.2800;77.9900;2417
2019.04.09;77.7700;77.9600;3477
2019.04.10;78.0700;78.6100;2231
