date;open;close;tickvol
2026.02.19;189.9700;189.4000;2127
2026.02.20;188.2300;190.0200;2332
2026.02.23;186.0000;181.2600;3892
2026.02.24;180.6100;185.5300;2687
2026.02.25;186.4700;188.0500;1906
2026.02.26;188.5300;187.8850;1229
2026.02.27;185.5500;190.1000;2349
2026.03.02;184.5900;189.0200;2245
2026.03.03;182.3950;182.6400;2325
2026.03.04;183.0600;182.1600;2059
2026.03.05;178.2100;175.6000;2528
2026.03.06;171.2000;174.0000;4699
2026.03.09;170.6000;175.0500;3940
2026.03.10;176.3000;169.4300;3855
2026.03.11;168.5300;174.8100;3472
2026.03.12;172.8000;166.9200;3651
2026.03.13;167.5700;164.2300;2782
2026.03.16;166.6000;169.4500;2868
2026.03.17;174.1900;176.1200;3054
2026.03.18;172.9700;172.4100;2828
2026.03.19;180.0000;176.2500;5278
2026.03.20;175.9700;173.1800;2558
2026.03.23;177.9900;180.8600;3120
2026.03.24;177.9200;179.3400;1712
2026.03.25;180.7800;180.2700;1932
2026.03.26;177.6600;177.3300;999
2026.03.27;175.5100;166.3800;2312
2026.03.30;168.0100;166.2600;2468
2026.03.31;167.5000;171.3700;1784
2026.04.01;172.6100;172.7300;1847
2026.04.02;168.5200;170.6000;2583
2026.04.06;170.2900;171.8700;1075
2026.04.07;171.1000;166.8700;1757
2026.04.08;177.0000;176.8300;1884
2026.04.09;173.2100;174.5300;2294
2026.04.10;175.2700;173.1400;1802
2026.04.13;171.7400;180.6700;2047
2026.04.14;183.1000;184.6900;1842
2026.04.15;187.3200;186.5300;1175
2026.04.16;186.7200;185.0200;1397
2026.04.17;188.8700;190.0700;1878
2026.04.20;187.3900;191.6600;1410
2026.04.21;193.3600;195.2000;3484
2026.04.22;198.1200;196.0500;2071
2026.04.23;194.5200;190.6700;1757
2026.04.24;190.9600;189.6100;1551
2026.04.27;189.7100;184.7000;3499
2026.04.28;183.6900;177.2800;4131
2026.04.29;177.2800;178.4000;3373
2026.04.30;176.1000;176.0100;5479
2026.05.01;178.0000;178.9100;1615
2026.05.04;175.7320;171.8800;1454
2026.05.05;171.2600;168.7100;1794
2026.05.06;169.4700;173.9400;1741
2026.05.07;174.9600;168.3900;1702
2026.05.08;168.3900;168.7800;2212
2026.05.11;168.8800;164.6100;2437
2026.05.12;164.7700;165.7900;1471
2026.05.13;165.4200;161.7500;1503
2026.05.14;161.4000;160.5300;1536
2026.05.15;159.5500;157.2500;1728
2026.05.18;157.6100;158.7800;1936
2026.05.19;158.5900;155.1600;2778
2026.05.20;155.1600;163.3800;3452
2026.05.21;162.1500;163.0400;2934
2026.05.22;162.9000;163.6100;2117
2026.05.26;164.9700;163.5500;1820
2026.05.27;164.8000;162.8800;3919
2026.05.28;162.8800;173.2500;3204
2026.05.29;173.7900;174.9500;2473
2026.06.01;172.4000;169.7700;2065
2026.06.02;170.0200;166.6900;1783
2026.06.03;166.7000;161.7100;2596
2026.06.04;164.1400;168.2900;1962
2026.06.05;168.2900;167.7400;878
2026.06.08;167.5500;172.0500;2028
2026.06.09;174.5100;178.1000;2007
2026.06.10;177.7300;170.5000;2393
2026.06.11;170.5000;176.5100;2461
2026.06.12;176.5100;174.8400;1184
2026.06.15;177.8800;178.2600;1948
2026.06.16;178.2700;179.5200;1507
2026.06.17;179.3600;173.5300;1839
2026.06.18;176.7000;182.0800;2515
2026.06.22;178.6300;173.7600;1940
2026.06.23;171.8000;168.4900;2206
2026.06.24;170.3400;170.9000;3839
2026.06.25;172.9900;175.7100;1728
2026.06.26;174.0300;178.4300;2972
2026.06.29;177.6200;173.4300;1980
2026.06.30;173.4300;168.6600;2790
2026.07.01;168.6600;181.4900;3086
2026.07.02;183.7400;184.5200;2344
2026.07.06;183.9100;188.3900;2082
2026.07.07;189.6100;185.2200;1924
2026.07.08;182.5500;174.6800;2380
2026.07.09;174.4200;178.1700;1633
2026.07.10;178.5000;179.4500;1538
2026.07.13;180.1400;180.5900;1061
