date;open;close;tickvol
2019.01.02;78.6500;81.0500;3112
2019.01.03;80.6400;79.6700;4042
2019.01.04;80.8200;79.4500;4442
2019.01.07;79.7300;80.3400;2549
2019.01.08;81.1400;81.4400;3417
2019.01.09;81.5400;82.3600;1981
2019.01.10;82.1500;82.2000;2829
2019.01.11;81.5400;82.0700;1379
2019.01.14;81.6700;81.7800;1866
2019.01.15;82.0000;81.7700;2367
2019.01.16;81.5500;81.0100;2034
2019.01.17;80.8900;81.7500;2689
2019.01.18;82.4800;83.5100;1620
2019.01.22;83.0500;82.1600;1489
2019.01.23;82.4300;82.4400;1983
2019.01.24;82.6900;83.0000;1711
2019.01.25;84.0000;84.1900;1729
2019.01.28;83.4100;84.2700;1448
2019.01.29;84.5000;85.0200;1594
2019.01.30;85.4900;85.9100;1232
2019.01.31;85.6900;85.8600;3180
2019.02.01;86.0000;86.7500;2423
2019.02.04;86.5600;87.2800;1587
2019.02.05;87.5600;89.1000;2843
2019.02.06;88.9400;89.6400;2476
2019.02.07;89.5200;90.7300;1824
2019.02.08;90.4500;91.3900;2413
2019.02.11;91.4800;91.5100;1550
2019.02.12;92.2400;93.0300;1871
2019.02.13;93.2400;93.7700;2011
2019.02.14;93.5200;91.6900;3428
2019.02.15;92.3500;91.5400;6408
2019.02.19;88.1200;88.0300;8175
2019.02.20;87.7200;87.9600;4665
2019.02.21;87.4700;88.2400;2843
2019.02.22;88.4800;89.6900;2494
2019.02.25;89.6900;88.7200;2568
2019.02.26;88.6800;88.6700;2093
2019.02.27;88.4000;90.4300;2215
2019.02.28;90.2900;89.9600;2507
2019.03.01;90.8900;91.2000;2637
2019.03.04;91.3200;90.2000;2161
2019.03.05;90.2000;89.9500;2127
2019.03.06;90.1600;89.4400;2962
2019.03.07;89.3100;87.9800;2449
2019.03.08;87.4100;88.0000;1959
2019.03.11;88.5100;88.5800;1586
2019.03.12;88.9100;88.8100;2230
2019.03.13;89.4700;89.6400;2447
2019.03.14;89.1200;88.7700;2136
2019.03.15;89.0000;88.4100;2633
2019.03.18;88.5900;88.9000;2888
2019.03.19;88.9300;88.7100;2356
2019.03.20;88.2500;87.7400;3231
2019.03.21;88.3600;88.9000;1430
2019.03.22;88.3500;87.2200;2270
2019.03.25;87.2800;87.4500;1138
2019.03.26;87.6700;88.4200;1427
2019.03.27;88.6500;88.2000;1247
2019.03.28;88.8700;89.8200;2137
2019.03.29;90.2000;90.7100;2406
2019.04.01;91.1600;92.6400;2575
2019.04.02;92.7700;92.4100;1960
2019.04.03;93.0000;93.5000;2598
2019.04.04;93.4900;94.1100;2000
2019.04.05;94.5300;94.8900;2255
2019.04.08;94.8600;94.4200;1602
2019.04.09;93.9300;93.4800;2319
2019.04.10;93.4900;93.3400;2496
2019.04.11;93.5800;93.7700;1559
2019.04.12;94.2400;94.5700;1431
2019.04.15;94.5700;94.0700;1760
2019.04.16;94.3300;93.9200;3017
2019.04.17;94.0900;93.8900;3029
2019.04.18;94.0900;93.7500;5149
2019.04.22;93.5800;93.9600;3583
2019.04.23;94.0800;95.9600;2029
2019.04.24;95.9900;95.5000;2777
2019.04.25;95.5300;96.5600;5476
2019.04.26;96.7100;98.2900;1829
2019.04.29;98.4100;98.4700;2359
2019.04.30;98.4900;99.2100;2519
2019.05.01;99.3500;99.0400;2443
2019.05.02;99.0500;98.9100;3016
2019.05.03;99.6100;102.1800;2587
2019.05.06;100.6700;101.2300;1789
2019.05.07;99.9600;99.3600;3220
2019.05.08;99.0000;99.6200;2735
2019.05.09;99.0700;100.0900;2748
2019.05.10;99.4400;100.2800;2666
2019.05.13;98.9600;99.0600;3396
2019.05.14;99.3100;99.4000;2584
2019.05.15;99.1300;100.4300;4461
2019.05.16;101.0400;101.8500;3826
2019.05.17;100.8500;100.4800;3620
2019.05.20;100.3000;99.9700;2695
2019.05.21;100.4300;101.4800;1925
2019.05.22;101.0300;99.9300;3749
2019.05.23;98.8800;99.1000;3018
2019.05.24;99.8100;99.2800;2712
2019.05.28;99.7300;98.8600;2074
2019.05.29;98.3100;97.7900;2289
2019.05.30;98.0200;99.4600;2178
2019.05.31;97.2000;97.0500;4801
2019.06.03;97.2400;99.6000;2562
2019.06.04;100.1600;100.4200;5735
2019.06.05;101.0700;103.3000;1777
2019.06.06;103.1400;103.7000;1673
2019.06.07;104.4100;104.1300;1330
2019.06.10;104.5800;105.5200;1346
2019.06.11;105.9100;105.0000;1854
2019.06.12;105.1100;104.5400;1567
2019.06.13;105.0300;105.3100;2124
2019.06.14;105.1900;106.0200;1967
2019.06.17;106.0500;104.6200;3881
2019.06.18;105.5000;106.1600;1634
2019.06.19;106.2700;107.1600;1056
2019.06.20;107.9100;108.2600;1477
2019.06.21;108.3900;107.8400;1187
2019.06.24;108.2000;107.8700;1298
2019.06.25;108.1500;107.6200;1714
2019.06.26;107.8100;107.6100;1449
2019.06.27;107.8300;108.7500;1190
2019.06.28;109.1300;110.5400;2109
2019.07.01;111.4800;111.5200;2431
2019.07.02;111.6200;110.2400;2227
2019.07.03;110.4500;110.5100;1997
2019.07.05;109.7300;110.9600;1530
2019.07.08;109.7600;110.0000;1500
2019.07.09;109.8600;110.1800;2588
