date;open;close;tickvol
2025.10.27;42.1900;41.2900;4034
2025.10.28;41.4850;40.8350;2798
2025.10.29;40.3750;39.9600;6309
2025.10.30;39.8300;39.2000;4971
2025.10.31;38.8250;38.9500;4082
2025.11.03;38.6850;39.3700;4142
2025.11.04;38.8400;39.6400;5703
2025.11.05;39.5900;39.9550;6839
2025.11.06;39.9150;38.6400;6810
2025.11.07;38.3219;39.2700;4188
2025.11.10;39.6000;39.2700;4626
2025.11.11;39.4300;39.4750;2882
2025.11.12;39.6850;40.2950;3594
2025.11.13;39.8950;39.1950;3809
2025.11.14;38.7320;39.2900;4598
2025.11.17;39.0700;37.7100;3425
2025.11.18;37.4650;37.6600;6792
2025.11.19;37.8100;38.4200;3647
2025.11.20;39.0000;37.5700;6746
2025.11.21;37.7500;38.4900;8124
2025.11.24;38.6500;39.6400;4364
2025.11.25;39.7000;40.7300;4826
2025.11.26;40.8950;41.1500;3269
2025.11.28;41.3250;41.2900;1222
2025.12.01;40.9800;41.4300;4882
2025.12.02;41.5350;41.1820;7023
2025.12.03;41.3250;41.7550;4189
2025.12.04;41.7000;42.4130;4781
2025.12.05;42.2300;42.3900;4437
2025.12.08;42.3900;42.6500;6792
2025.12.09;42.2900;42.3300;3738
2025.12.10;43.7000;44.4950;16713
2025.12.11;44.5880;45.8400;7199
2025.12.12;46.1000;45.1850;5270
2025.12.15;45.3900;44.8500;4541
2025.12.16;45.0400;44.3200;3489
2025.12.17;44.8750;44.6450;5198
2025.12.18;45.0100;45.4200;4966
2025.12.19;45.5400;45.6700;4155
2025.12.22;45.8950;46.3900;4346
2025.12.23;46.4200;46.4200;5398
2025.12.24;46.6900;46.2800;1257
2025.12.26;46.4399;46.2500;1691
2025.12.29;46.0350;45.7750;1921
2025.12.30;45.7500;45.6000;1880
2025.12.31;45.6900;45.2850;1851
2026.01.02;45.3400;45.7600;2276
2026.01.05;45.6750;46.6200;3602
2026.01.06;46.8700;47.0500;5370
2026.01.07;46.9650;46.5250;5389
2026.01.08;46.4600;45.9070;5740
2026.01.09;46.2500;45.7150;4938
2026.01.12;44.6400;44.3600;7906
2026.01.13;44.2800;43.7300;4850
2026.01.14;43.6300;43.8900;3818
2026.01.15;44.2800;43.6500;5196
2026.01.16;43.7700;43.5900;7806
2026.01.20;42.7200;42.4150;9081
2026.01.21;40.4850;42.3830;18328
2026.01.22;42.7250;41.9700;11242
2026.01.23;41.9050;41.1150;6336
2026.01.26;41.8200;42.2100;6170
2026.01.27;42.1600;42.8850;8419
2026.01.28;43.0000;42.2900;9335
2026.01.29;42.9400;42.9500;5392
2026.01.30;42.7100;42.2850;7535
2026.02.02;42.1000;42.1500;6551
2026.02.03;42.3250;42.0550;6955
2026.02.04;42.3100;43.3500;6503
2026.02.05;42.6700;42.1300;6499
2026.02.06;42.5600;42.3300;5614
2026.02.09;42.1550;42.0400;5382
2026.02.10;42.2100;42.4000;5240
2026.02.11;42.6850;41.6800;5606
2026.02.12;41.8300;40.8200;11569
2026.02.13;40.6500;40.7900;5779
2026.02.17;41.3265;41.3100;6860
2026.02.18;41.4700;42.0950;5838
2026.02.19;41.7300;41.9000;5133
2026.02.20;41.7800;42.1100;4003
2026.02.23;41.8800;39.9700;7462
2026.02.24;39.9300;40.5100;5529
2026.02.25;40.8400;41.4900;3989
2026.02.26;41.8000;41.6700;3111
2026.02.27;40.8820;39.4400;12585
2026.03.02;38.2000;39.7400;5039
2026.03.03;38.6400;39.8800;4837
2026.03.04;40.1850;40.4200;5436
2026.03.05;40.1600;39.9100;5557
2026.03.06;38.7050;38.0530;8820
2026.03.09;37.2500;38.4450;9021
2026.03.10;38.9200;37.3800;9246
2026.03.11;37.3750;36.8350;8304
2026.03.12;36.0000;36.8300;7944
2026.03.13;37.3000;36.1450;6740
2026.03.16;36.6750;35.9500;7740
2026.03.17;36.5700;37.3600;7704
