date;open;close;tickvol
2019.01.02;18.0200;18.8300;105329
2019.01.03;18.3800;17.0500;177809
2019.01.04;17.5600;19.0000;152132
2019.01.07;19.4400;20.5700;158429
2019.01.08;21.1900;20.7400;160935
2019.01.09;20.8900;20.1800;220584
2019.01.10;19.7700;19.7500;161605
2019.01.11;19.4700;20.2800;110519
2019.01.14;19.9600;20.2400;89472
2019.01.15;20.4300;20.3700;83832
2019.01.16;20.4200;19.7200;87954
2019.01.17;19.4900;20.2500;112403
2019.01.18;20.3600;20.7600;110036
2019.01.22;20.4800;19.7800;103664
2019.01.23;20.0200;19.8000;88156
2019.01.24;20.0500;20.8500;131159
2019.01.25;20.9700;21.9200;145422
2019.01.28;20.3200;20.1800;186736
2019.01.29;20.2700;19.2400;153179
2019.01.30;21.4900;23.1100;321963
2019.01.31;23.0200;24.4500;270265
2019.02.01;24.6100;24.4900;153344
2019.02.04;24.4700;24.1200;92950
2019.02.05;23.4200;23.3000;156322
2019.02.06;23.6300;23.2700;111479
2019.02.07;22.9900;22.6700;123508
2019.02.08;22.3200;23.0700;102564
2019.02.11;23.0500;22.9500;80051
2019.02.12;23.4300;22.8200;91191
2019.02.13;23.0000;22.8500;73474
2019.02.14;22.7400;23.1300;85827
2019.02.15;23.5300;23.6800;110340
2019.02.19;23.6300;23.9500;83476
2019.02.20;24.1400;23.9700;74598
2019.02.21;24.0400;23.9200;63948
2019.02.22;24.0900;24.3600;69141
2019.02.25;25.0200;24.7100;82262
2019.02.26;24.6900;24.2100;64823
2019.02.27;24.1400;23.4900;94447
2019.02.28;23.2200;23.5500;54736
2019.03.01;23.9700;23.6800;60362
2019.03.04;23.9200;23.3700;70437
2019.03.05;23.3500;23.5000;50343
2019.03.06;23.4900;22.4000;82170
2019.03.07;22.3300;22.0700;76094
2019.03.08;21.3500;22.0100;72135
2019.03.11;22.5400;22.9700;53312
2019.03.12;23.1900;23.4900;56090
2019.03.13;23.8800;23.4000;46501
2019.03.14;23.0500;22.9100;39976
2019.03.15;23.5300;23.3300;36630
2019.03.18;23.3300;23.2700;33915
2019.03.19;24.5300;26.1000;178116
2019.03.20;25.6700;25.6900;128282
2019.03.21;26.6900;27.9200;144777
2019.03.22;27.0400;26.3600;103547
2019.03.25;26.1000;26.0000;77832
2019.03.26;26.4400;25.7100;72597
2019.03.27;25.2900;24.8800;94454
2019.03.28;25.3700;25.1200;52620
2019.03.29;25.5700;25.5200;45985
2019.04.01;26.4200;26.3600;98278
2019.04.02;26.5100;26.7500;83029
2019.04.03;28.0200;29.0100;302155
2019.04.04;28.9300;29.0700;126356
2019.04.05;29.6300;29.0000;95904
2019.04.08;28.7000;28.5400;90331
2019.04.09;28.2400;27.2500;121908
2019.04.10;27.4600;27.8300;90086
2019.04.11;27.8200;27.7900;67906
2019.04.12;28.2400;27.8500;60422
2019.04.15;27.8000;27.3400;61593
2019.04.16;27.7200;27.9300;74161
2019.04.17;28.2100;27.5100;80984
2019.04.18;27.6000;27.6800;63697
2019.04.22;27.6100;28.1800;56865
2019.04.23;28.2000;27.9800;62687
2019.04.24;28.1000;28.4600;72966
2019.04.25;28.5900;27.6500;94643
2019.04.26;27.6500;27.8800;85821
2019.04.29;27.9000;27.6900;68730
2019.04.30;27.5900;27.6400;94443
2019.05.01;28.9500;26.8000;187782
2019.05.02;26.9300;28.2900;156275
2019.05.03;28.3100;28.2200;80046
2019.05.06;26.7100;27.4400;98534
2019.05.07;27.2000;26.6600;111337
2019.05.08;26.4100;27.1000;79853
2019.05.09;26.7000;27.2000;98692
2019.05.10;26.9800;27.9500;112569
2019.05.13;27.0200;26.2400;143203
2019.05.14;26.5300;27.3100;115481
2019.05.15;26.8700;27.5800;73761
2019.05.16;27.3600;28.0100;94483
2019.05.17;27.6900;27.5000;88771
2019.05.20;26.9300;26.6800;100085
2019.05.21;27.1800;27.3500;62155
2019.05.22;27.1200;27.4200;53848
2019.05.23;26.9800;26.3600;102302
2019.05.24;26.6100;26.4400;51261
2019.05.28;27.2400;29.0300;214671
2019.05.29;29.0000;28.0900;149884
2019.05.30;28.3900;28.0200;87796
2019.05.31;27.5600;27.4100;97207
2019.06.03;28.7500;27.5700;206878
2019.06.04;28.4000;29.5700;146327
2019.06.05;29.9400;29.5100;120810
2019.06.06;29.8700;31.8400;196270
2019.06.07;31.9400;32.4200;134183
2019.06.10;33.5500;33.2400;161835
2019.06.11;33.4300;32.4200;137214
2019.06.12;32.0500;32.1800;84494
2019.06.13;32.4000;31.3800;90114
2019.06.14;30.7000;30.3500;107603
2019.06.17;30.2500;29.1900;105152
2019.06.18;29.7600;30.4700;117050
2019.06.19;30.6500;30.5100;82132
2019.06.20;31.2400;30.0000;96133
2019.06.21;29.5900;29.0800;111730
2019.06.24;29.3100;29.2500;72728
2019.06.25;29.2700;28.8400;71262
2019.06.26;29.9400;29.9100;90756
2019.06.27;30.4100;30.7300;79249
2019.06.28;31.0700;30.3700;67327
2019.07.01;31.7900;31.2000;83425
2019.07.02;30.9700;31.2700;51808
2019.07.03;31.2000;31.1200;30476
2019.07.05;30.8700;31.5000;46440
2019.07.08;31.8200;32.0500;69703
2019.07.09;31.7700;33.1400;99637
2019.07.10;33.5000;33.7800;96304
2019.07.11;33.9100;33.0600;92750
2019.07.12;32.7900;33.2000;77020
2019.07.15;33.3300;34.3900;92357
2019.07.16;34.3000;33.8200;96069
2019.07.17;34.0200;33.5900;61400
2019.07.18;33.0400;33.0000;89928
2019.07.19;33.0800;32.5100;62834
2019.07.22;32.7900;32.8500;49978
2019.07.23;33.1700;33.5000;49662
2019.07.24;33.6400;34.1100;62630
2019.07.25;34.0500;33.6600;49918
2019.07.26;34.2200;34.0100;71881
2019.07.29;34.1400;33.4700;72648
2019.07.30;33.2100;33.8600;88689
2019.07.31;32.0800;30.4300;202869
2019.08.01;30.5000;29.8600;126165
2019.08.02;29.5000;29.4500;94922
2019.08.05;28.2500;27.9800;110606
2019.08.06;28.8800;28.8500;89647
2019.08.07;28.4700;29.1900;93996
2019.08.08;31.5100;33.9600;296923
2019.08.09;33.4600;34.1800;224472
2019.08.12;34.1700;32.4300;174776
2019.08.13;32.3600;32.1100;170532
2019.08.14;31.0600;30.2500;228530
2019.08.15;30.6200;29.6600;111343
2019.08.16;30.2900;31.1800;109462
2019.08.19;32.0000;31.4600;99105
2019.08.20;30.9400;30.7100;66063
2019.08.21;31.0500;31.7000;63538
2019.08.22;31.7800;31.9000;67025
2019.08.23;31.3400;29.5600;130278
2019.08.26;30.3400;30.2900;74033
2019.08.27;30.6200;30.2000;70909
2019.08.28;29.9200;30.7900;85071
2019.08.29;31.4700;31.4500;67798
2019.08.30;31.6000;31.4300;58231
2019.09.03;30.9000;30.9000;59057
2019.09.04;31.3100;30.9600;73072
2019.09.05;31.7500;31.5000;82406
2019.09.06;31.4600;30.5700;89257
2019.09.09;30.9200;30.5100;92107
2019.09.10;30.2100;30.2400;83828
2019.09.11;30.3700;29.7700;82390
2019.09.12;30.0600;30.2100;90483
2019.09.13;30.2700;30.7100;90320
2019.09.16;30.3700;30.8300;64861
2019.09.17;31.0900;31.0000;58249
2019.09.18;30.7600;30.4300;77427
2019.09.19;30.5700;30.2700;69058
2019.09.20;30.3400;30.0300;81722
2019.09.23;30.1200;30.6500;75119
2019.09.24;30.5500;29.5300;125024
2019.09.25;29.5000;29.5300;100553
2019.09.26;29.6800;29.4800;66645
2019.09.27;29.1500;28.7300;85239
2019.09.30;28.9100;29.0000;58996
2019.10.01;29.0800;28.7600;60794
2019.10.02;28.4800;28.3300;72735
2019.10.03;28.2900;28.7100;89322
2019.10.04;28.8400;29.0100;55844
2019.10.07;28.9300;28.9400;62857
