date;open;close;tickvol
2019.01.02;103.4400;107.9100;5386
2019.01.03;106.7500;105.1000;3680
2019.01.04;107.8500;110.7000;3162
2019.01.07;110.0000;111.2400;2985
2019.01.08;112.8300;111.9000;2119
2019.01.09;112.4900;113.0900;2585
2019.01.10;112.0900;113.4100;2221
2019.01.11;112.2500;113.4300;2136
2019.01.14;111.8300;114.0300;3313
2019.01.15;113.6500;115.2100;2430
2019.01.16;116.4000;118.2500;3140
2019.01.17;117.0700;118.6100;2519
2019.01.18;120.2500;121.1200;3052
2019.01.22;119.8900;119.3100;3014
2019.01.23;120.0600;118.8200;1741
2019.01.24;118.3600;119.8100;1753
2019.01.25;121.4100;121.1300;2551
2019.01.28;120.4000;121.7800;2893
2019.01.29;121.6000;121.3800;2758
2019.01.30;121.7300;120.2400;4868
2019.01.31;125.1000;126.6100;5820
2019.02.01;127.2400;126.9000;4358
2019.02.04;127.0600;127.1200;2843
2019.02.05;127.1600;125.6800;3560
2019.02.06;124.6800;126.6900;3142
2019.02.07;125.9200;125.2200;3261
2019.02.08;124.1200;125.5900;3382
2019.02.11;126.1100;125.9400;3805
2019.02.12;127.2400;128.8300;3114
2019.02.13;129.6900;129.8100;2933
2019.02.14;127.9000;127.1600;3290
2019.02.15;128.4400;130.6600;2254
2019.02.19;129.5600;131.9700;2605
2019.02.20;131.6600;132.9000;2942
2019.02.21;133.2400;131.6900;2663
2019.02.22;132.3500;134.8400;3793
2019.02.25;135.5900;131.9600;4894
2019.02.26;130.7900;130.9900;3316
2019.02.27;130.7700;131.8700;3503
2019.02.28;131.9100;131.6100;3332
2019.03.01;133.1200;132.1800;2822
2019.03.04;132.8000;130.5900;2341
2019.03.05;130.6600;130.1300;3576
2019.03.06;130.5400;127.8600;2258
2019.03.07;127.1500;124.8900;2955
2019.03.08;123.4900;124.3300;3604
2019.03.11;124.7200;124.3600;4685
2019.03.12;124.7700;124.6100;3882
2019.03.13;125.2900;124.8600;3428
2019.03.14;124.8400;125.0700;4087
2019.03.15;126.2400;129.0500;4676
2019.03.18;131.0000;130.3600;3521
2019.03.19;131.5500;128.8700;2345
2019.03.20;129.7900;129.1300;4293
2019.03.21;128.7400;129.5500;3673
2019.03.22;125.5500;124.1300;3479
2019.03.25;123.8100;123.8000;2458
2019.03.26;125.6700;125.8700;1836
2019.03.27;126.6700;125.5900;2570
2019.03.28;126.8100;126.9900;2941
2019.03.29;128.4300;128.1000;2470
2019.04.01;129.5900;132.6700;3356
2019.04.02;136.5000;136.1200;5247
2019.04.03;137.6300;136.5700;3121
2019.04.04;136.5800;137.3000;1500
2019.04.05;137.9800;137.9400;2115
2019.04.08;137.6500;138.5200;1642
2019.04.09;137.9200;136.4700;2147
2019.04.10;136.9500;138.5400;1974
2019.04.11;139.1600;139.6400;1799
2019.04.12;141.9100;142.5300;2676
2019.04.15;142.3200;141.2700;2347
2019.04.16;141.7700;144.0700;2363
2019.04.17;144.4500;143.2300;2544
2019.04.18;142.9500;143.2700;3218
2019.04.22;143.4200;143.1400;1740
2019.04.23;143.3100;144.8400;2433
2019.04.24;144.1300;144.0000;3789
2019.04.25;143.4900;145.0600;4038
2019.04.26;145.4100;146.6300;2737
2019.04.29;147.3200;147.6900;2187
2019.04.30;148.1100;146.7800;4326
2019.05.01;146.8900;146.5800;3365
2019.05.02;146.1500;147.3300;2983
2019.05.03;146.9500;147.8500;2301
2019.05.06;145.4800;147.3000;2178
2019.05.07;145.7400;144.2700;2329
2019.05.08;143.6000;143.0700;2581
2019.05.09;140.7500;142.8000;2773
2019.05.10;141.9300;144.5100;2230
2019.05.13;143.9900;139.3800;4156
2019.05.14;139.9000;142.5200;3182
2019.05.15;141.5500;142.2400;2592
2019.05.16;142.7500;145.0000;2053
2019.05.17;143.3500;143.7600;1965
2019.05.20;142.8900;145.8700;3207
2019.05.21;146.7900;148.4300;3435
2019.05.22;147.8600;146.3600;3013
2019.05.23;144.8900;144.3600;2482
2019.05.24;145.4200;146.4400;1189
2019.05.28;146.0400;144.2500;2072
2019.05.29;143.0900;144.0200;2532
2019.05.30;144.5200;143.3700;1550
2019.05.31;140.9400;138.2400;3187
2019.06.03;137.9600;140.7600;2447
2019.06.04;142.9600;146.8700;3388
2019.06.05;146.9000;147.4800;2976
2019.06.06;147.7100;149.7700;1911
2019.06.07;149.8500;149.8700;1782
2019.06.10;151.8800;151.2500;2626
2019.06.11;152.3900;151.8800;2404
2019.06.12;151.4500;150.3500;2311
2019.06.13;150.0900;151.5600;1205
2019.06.14;152.0300;153.5300;2059
2019.06.17;152.9800;147.7800;4657
2019.06.18;148.2000;150.0200;3215
2019.06.19;150.3900;148.0500;2906
2019.06.20;149.5800;149.3200;4135
2019.06.21;149.4500;146.7500;2847
2019.06.24;146.7000;147.6800;1938
2019.06.25;147.6000;143.7400;4367
2019.06.26;144.3600;146.1400;3577
2019.06.27;145.3300;144.0000;3963
2019.06.28;145.8200;145.2000;3614
2019.07.01;147.5600;145.6500;6744
2019.07.02;145.5100;146.0000;3674
2019.07.03;147.1500;147.8200;2016
2019.07.05;148.3100;150.1200;2366
2019.07.08;148.8600;148.9400;2459
2019.07.09;147.6000;150.1900;2653
2019.07.10;150.4900;148.3400;1772
2019.07.11;149.1400;150.4300;1834
2019.07.12;150.4700;151.1400;1318
2019.07.15;151.9400;150.2700;1922
2019.07.16;150.6800;150.8900;2095
2019.07.17;150.3800;148.4900;2257
2019.07.18;147.8200;150.0600;2126
2019.07.19;150.7600;148.6700;2212
2019.07.22;148.8000;147.8500;2705
2019.07.23;148.7100;149.0900;2139
2019.07.24;148.1600;151.4900;2530
2019.07.25;151.2300;146.9800;6246
2019.07.26;147.6800;149.9200;3566
2019.07.29;149.7800;149.7800;2779
2019.07.30;148.2600;148.4800;1767
2019.07.31;148.3800;145.5100;2246
2019.08.01;144.8700;140.5600;3443
2019.08.02;139.3900;135.4400;5895
2019.08.05;132.9100;130.4200;4664
2019.08.06;132.5600;133.3400;3848
2019.08.07;130.7200;131.0600;4431
2019.08.08;131.8000;134.9200;2915
2019.08.09;134.0200;131.8300;3247
2019.08.12;129.0100;125.4600;4282
2019.08.13;125.4200;128.7400;8793
2019.08.14;125.2300;122.3700;4517
2019.08.15;123.2900;122.7500;4036
2019.08.16;124.0300;126.3000;2809
2019.08.19;129.0000;128.0300;3105
2019.08.20;124.8000;126.3300;2165
2019.08.21;128.0400;127.9000;2291
2019.08.22;128.7500;128.5600;2094
2019.08.23;127.6600;124.5100;2617
2019.08.26;126.4700;126.1300;2686
2019.08.27;127.1700;125.2100;3228
2019.08.28;123.9700;125.8400;2693
2019.08.29;127.5100;128.4500;2504
2019.08.30;129.7200;128.9900;2164
2019.09.03;127.1400;127.2000;2671
2019.09.04;128.3600;129.2200;2425
2019.09.05;131.0700;133.4300;3015
2019.09.06;133.2700;134.7900;2870
2019.09.09;136.3100;137.9100;4115
2019.09.10;139.2700;144.6100;5406
2019.09.11;144.7700;145.6200;3736
2019.09.12;144.5200;146.3400;3043
2019.09.13;148.2400;147.4300;3624
2019.09.16;146.1700;147.3800;4021
2019.09.17;146.4300;146.1000;3108
2019.09.18;145.2200;147.5200;3143
2019.09.19;147.6400;147.2600;3227
2019.09.20;147.5600;145.7200;2743
2019.09.23;143.8600;147.2300;2205
2019.09.24;148.3500;144.9000;3398
2019.09.25;144.7500;145.5400;2935
2019.09.26;145.4700;146.1800;1926
2019.09.27;147.5800;147.5500;3311
2019.09.30;148.5800;147.1000;2913
2019.10.01;147.4800;140.6700;4192
2019.10.02;138.7500;135.3600;3447
2019.10.03;133.8100;135.2400;3712
2019.10.04;136.0000;136.1600;2849
2019.10.07;135.3800;134.7300;2541
2019.10.08;132.3800;129.1900;4709
2019.10.09;130.6600;132.1400;2180
2019.10.10;133.0800;134.0400;1942
2019.10.11;137.6500;138.2400;2903
2019.10.14;137.4200;138.8200;1702
2019.10.15;139.7400;140.2300;2322
2019.10.16;139.8000;139.7800;1769
2019.10.17;142.1800;140.5100;1863
2019.10.18;139.9500;142.0000;1937
2019.10.21;143.7700;144.3000;1938
2019.10.22;143.8900;142.4600;3251
2019.10.23;142.0100;143.8100;3093
2019.10.24;150.4800;149.6000;5013
2019.10.25;149.2700;149.4400;2400
2019.10.28;152.2500;152.8100;2276
2019.10.29;153.9300;153.7000;1827
2019.10.30;151.3000;152.0000;2894
2019.10.31;148.6400;150.8900;1615
2019.11.01;152.0000;152.8900;2302
2019.11.04;154.4300;155.3800;2664
2019.11.05;156.3500;158.3100;2506
2019.11.06;157.8400;157.8500;2742
2019.11.07;159.2000;157.7500;2938
2019.11.08;157.7600;158.5000;3367
2019.11.11;156.6900;158.4300;2141
2019.11.12;158.9000;158.9200;3002
2019.11.13;156.7100;158.4200;2357
2019.11.14;157.6000;159.3300;2375
2019.11.15;160.4700;160.1700;2155
2019.11.18;159.2500;158.2600;2281
2019.11.19;159.2500;158.9800;2453
2019.11.20;158.8100;158.3900;2187
2019.11.21;158.7200;158.0300;2430
2019.11.22;158.9200;159.7800;2669
2019.11.25;160.2100;161.8200;2827
2019.11.26;161.4400;161.0100;2194
2019.11.27;161.9100;163.3900;2227
2019.11.29;163.5000;163.3900;1316
2019.12.02;164.5000;162.5700;4623
2019.12.03;160.0300;159.9800;2943
2019.12.04;160.7400;162.0500;2287
2019.12.05;163.0600;162.7700;2833
2019.12.06;165.1000;164.8800;2249
2019.12.09;164.3800;164.8300;1627
2019.12.10;163.8700;165.2500;2034
2019.12.11;165.0300;164.4600;2036
2019.12.12;164.3400;168.4700;2076
2019.12.13;168.4300;167.4200;2027
2019.12.16;169.7100;167.4500;1627
2019.12.17;167.2100;167.3600;1902
2019.12.18;167.2200;167.2600;2025
2019.12.19;167.4800;167.2800;1456
2019.12.20;168.6000;168.1900;1880
2019.12.23;168.4600;167.2900;1364
2019.12.24;167.1900;167.7200;578
2019.12.26;167.5100;167.6800;929
2019.12.27;167.7900;166.7800;1523
2019.12.30;167.4800;166.0500;942
2019.12.31;165.7700;166.5900;1045
2020.01.02;167.6000;169.1900;2045
2020.01.03;167.9800;167.1400;1621
2020.01.06;165.4200;167.6600;1691
2020.01.07;166.5000;165.6900;3081
2020.01.08;165.9100;167.1600;1775
2020.01.09;169.0500;168.8400;1875
2020.01.10;169.1900;169.1600;1994
2020.01.13;169.1700;169.6800;1762
2020.01.14;169.7300;168.3700;1516
2020.01.15;167.3700;168.3200;1789
2020.01.16;169.5600;171.9400;1902
2020.01.17;172.4900;172.4200;1696
2020.01.21;171.2500;170.2900;1352
2020.01.22;171.4600;171.2000;1174
2020.01.23;169.9800;171.3900;2196
2020.01.24;171.4200;167.5500;1417
2020.01.27;162.6900;162.4000;2144
2020.01.28;164.4800;165.0500;1862
2020.01.29;166.1900;166.4400;2137
2020.01.30;166.5100;170.5200;3047
2020.01.31;168.7100;165.4100;2446
2020.02.03;167.0600;167.4300;2419
2020.02.04;171.4000;173.2800;1873
2020.02.05;175.0000;176.0400;2031
2020.02.06;177.1200;175.9100;1697
2020.02.07;174.5200;175.3000;1390
2020.02.10;174.5300;175.7900;1378
2020.02.11;176.2300;177.6300;1391
2020.02.12;178.6100;178.6500;1197
2020.02.13;176.3000;178.3700;1620
2020.02.14;178.0100;178.8400;1514
2020.02.18;177.5400;177.3000;2477
2020.02.19;177.8300;178.9900;1813
2020.02.20;178.0200;179.7000;1893
2020.02.21;178.0500;175.4600;1521
2020.02.24;167.6200;164.4900;2996
2020.02.25;164.9300;156.2000;3401
2020.02.26;156.3900;156.0700;2748
2020.02.27;151.0200;146.2200;4045
2020.02.28;139.3100;141.0800;5154
2020.03.02;142.1300;150.8500;4470
2020.03.03;149.4700;140.5500;4474
2020.03.04;143.4000;144.4700;4476
2020.03.05;138.3600;134.3200;4229
2020.03.06;128.2600;126.6000;5550
2020.03.09;116.2100;109.1300;3822
2020.03.10;115.9000;118.5100;5360
2020.03.11;111.7400;110.7800;4053
2020.03.12;95.1900;92.4200;5333
2020.03.13;104.5200;113.3400;4215
2020.03.16;93.2800;86.3500;5488
2020.03.17;85.7900;97.9400;5731
2020.03.18;92.3800;93.9000;5937
2020.03.19;95.9200;95.4300;5089
2020.03.20;91.4700;89.8300;5203
2020.03.23;88.2800;82.8800;4644
2020.03.24;93.4500;100.0600;4628
