date;open;close;tickvol
2019.01.02;157.1100;156.7300;7523
2019.01.03;156.6100;157.6000;6821
2019.01.04;158.1100;158.2600;5295
2019.01.07;158.4800;159.2800;3976
2019.01.08;159.7800;161.0600;7039
2019.01.09;161.8800;159.6500;5722
2019.01.10;159.4700;161.8400;6168
2019.01.11;161.0500;161.3900;5402
2019.01.14;161.0400;161.3600;3923
2019.01.15;161.2300;163.1000;5470
2019.01.16;163.4500;163.7200;4452
2019.01.17;163.7800;164.3900;3665
2019.01.18;165.0000;164.6200;3860
2019.01.22;164.5200;164.7000;3722
2019.01.23;164.5100;165.7900;4814
2019.01.24;164.8100;165.6800;4525
2019.01.25;166.5000;167.4100;4068
2019.01.28;166.9400;168.0600;3687
2019.01.29;167.6800;169.4400;5043
2019.01.30;169.1300;170.5100;5269
2019.01.31;169.7900;173.1100;8460
2019.02.01;173.1500;170.4400;10698
2019.02.04;170.2000;170.9200;6501
2019.02.05;170.8300;172.4000;4850
2019.02.06;171.3200;170.3000;4451
2019.02.07;170.3300;172.0200;3005
2019.02.08;171.9100;172.4300;3007
2019.02.11;172.8600;172.9800;3707
2019.02.12;173.0800;172.5700;4452
2019.02.13;172.4300;173.6800;3140
2019.02.14;173.6100;175.7800;6139
2019.02.15;177.2800;177.8500;6718
2019.02.19;177.9700;177.6100;6415
2019.02.20;177.3300;176.6900;4798
2019.02.21;176.4600;176.4500;4854
2019.02.22;177.1500;176.6300;3698
2019.02.25;177.2400;174.2400;6370
2019.02.26;174.8400;173.9800;5880
2019.02.27;174.3000;173.2500;5526
2019.02.28;172.5200;176.0900;8570
2019.03.01;176.2000;177.9100;6549
2019.03.04;179.0000;179.6500;4057
2019.03.05;179.4300;181.1000;6897
2019.03.06;181.0700;181.6800;3558
2019.03.07;182.0100;181.7500;3443
2019.03.08;181.0000;181.6100;3198
2019.03.11;183.3100;185.1600;3328
2019.03.12;185.6700;185.7500;3510
2019.03.13;186.3900;187.2300;3509
2019.03.14;186.8200;187.9700;2814
2019.03.15;188.2800;188.9700;3262
2019.03.18;189.3700;188.8900;3550
2019.03.19;188.9200;189.9100;4446
2019.03.20;189.2700;191.5400;3939
2019.03.21;192.8200;194.7100;4620
2019.03.22;195.8300;193.6500;4360
2019.03.25;194.3800;195.6900;4435
2019.03.26;195.4600;195.0500;6153
2019.03.27;195.5300;194.0900;6102
2019.03.28;194.1700;194.9300;5888
2019.03.29;195.2500;197.0600;6446
2019.04.01;197.5400;192.5100;9741
2019.04.02;193.0000;195.1300;9471
2019.04.03;195.0600;194.2900;6619
2019.04.04;194.9400;193.0400;6256
2019.04.05;193.2600;195.7800;5227
2019.04.08;195.0700;196.2300;5550
2019.04.09;196.1400;196.7500;6019
2019.04.10;196.1800;196.6200;4415
2019.04.11;197.1200;196.6400;3318
2019.04.12;196.6400;198.0100;3111
2019.04.15;196.7000;196.0800;4963
2019.04.16;196.1700;192.1900;6815
2019.04.17;194.0000;191.1700;6431
2019.04.18;190.9300;192.8800;3356
2019.04.22;192.5600;192.3400;2134
2019.04.23;193.5900;193.5100;3500
2019.04.24;193.9900;193.2400;4262
2019.04.25;192.4300;192.3100;2861
2019.04.26;192.4600;193.2100;2765
2019.04.29;192.9000;192.4400;2798
2019.04.30;192.8100;195.2500;3519
2019.05.01;194.9500;192.9100;4337
2019.05.02;193.2800;192.8000;4523
2019.05.03;193.3400;192.9100;3708
2019.05.06;192.4300;192.1700;4476
2019.05.07;191.9700;189.8600;4659
2019.05.08;190.1700;191.7200;4210
2019.05.09;191.7100;192.5200;3797
2019.05.10;192.5100;195.6800;4406
2019.05.13;194.5200;196.9400;6001
2019.05.14;197.2000;198.0600;6015
2019.05.15;198.2000;200.5000;4019
2019.05.16;201.5900;202.0300;4229
2019.05.17;200.8900;202.3800;3279
