date;open;close;tickvol
2019.01.02;73.3000;76.9700;17015
2019.01.03;76.0400;74.9700;17002
2019.01.04;76.5000;78.7900;22854
2019.01.07;80.1200;81.4300;19214
2019.01.08;83.1900;82.8000;23433
2019.01.09;82.7000;83.0200;15444
2019.01.10;82.1500;82.8400;16588
2019.01.11;82.0300;82.0300;11523
2019.01.14;80.7500;80.9600;14230
2019.01.15;81.6000;83.7400;16168
2019.01.16;84.2100;84.1800;15278
2019.01.17;83.9900;84.6600;10472
2019.01.18;85.5100;84.8100;13578
2019.01.22;84.0900;81.7300;16511
2019.01.23;82.8000;82.0800;14054
2019.01.24;82.0500;82.7500;9527
2019.01.25;83.5100;83.6000;12705
2019.01.28;82.1800;81.9100;12690
2019.01.29;81.5600;79.6900;11293
2019.01.30;81.1100;83.5200;14076
2019.01.31;84.6400;86.0000;21880
2019.02.01;81.9100;81.3100;29165
2019.02.04;81.1500;81.7100;12126
2019.02.05;82.1700;83.0000;11378
2019.02.06;83.5400;81.9900;9827
2019.02.07;81.2500;80.7200;11143
2019.02.08;79.3000;79.4100;16632
2019.02.11;80.0200;79.5800;8705
2019.02.12;80.2000;81.9100;12396
2019.02.13;82.3300;81.9900;8697
2019.02.14;81.2300;81.1300;10795
2019.02.15;81.3500;80.4600;9636
2019.02.19;80.0500;81.3700;9225
2019.02.20;81.5000;81.1300;7909
2019.02.21;80.9500;80.9900;9177
2019.02.22;81.1800;81.6000;6805
2019.02.25;82.1600;81.6000;7310
2019.02.26;81.2900;81.8200;6646
2019.02.27;81.4100;82.0600;8064
2019.02.28;81.7800;81.9900;6509
2019.03.01;82.6500;83.5600;12840
2019.03.04;84.2500;84.8100;16179
2019.03.05;85.1800;84.5900;9403
2019.03.06;84.8000;83.4600;10733
2019.03.07;83.3700;81.3100;11611
2019.03.08;80.2000;81.1100;11699
2019.03.11;82.2800;83.5800;7703
2019.03.12;83.8800;83.6400;5461
2019.03.13;84.3100;84.6000;6745
2019.03.14;84.8100;84.2400;4756
2019.03.15;85.0600;85.5600;11960
2019.03.18;86.9800;87.2400;9637
2019.03.19;88.3600;88.0900;11556
2019.03.20;88.9000;89.7500;12429
2019.03.21;89.8700;91.0000;10921
2019.03.22;90.2600;88.1300;11844
2019.03.25;87.6500;88.8500;9297
2019.03.26;89.9300;89.2500;8327
2019.03.27;89.2200;88.2900;8783
2019.03.28;88.6400;88.6700;5426
2019.03.29;89.2300;89.0200;4929
2019.04.01;90.1200;90.7200;10265
2019.04.02;90.6000;90.7000;8792
2019.04.03;91.3400;91.0300;10408
2019.04.04;91.0300;90.9800;9499
2019.04.05;91.4500;91.8900;9332
2019.04.08;91.6500;92.4800;9914
2019.04.09;92.2700;91.8200;9324
2019.04.10;92.0500;92.3600;8144
2019.04.11;92.4400;92.2300;7033
2019.04.12;92.4200;92.1500;7224
2019.04.15;92.1000;92.2400;8868
2019.04.16;92.5700;93.1200;7803
2019.04.17;93.7000;93.2200;7291
2019.04.18;93.3100;93.0600;5894
2019.04.22;92.7700;94.4000;9644
2019.04.23;94.6500;96.2100;12172
2019.04.24;96.3000;95.0400;8785
2019.04.25;95.9100;95.1300;11613
2019.04.26;96.4400;97.5500;22189
2019.04.29;97.4000;96.9500;10456
2019.04.30;96.5600;96.3300;8641
2019.05.01;96.6600;95.5400;7513
2019.05.02;95.7100;95.0900;9851
2019.05.03;97.4400;98.1300;14616
2019.05.06;95.9000;97.5100;12986
2019.05.07;97.0000;96.1200;15120
2019.05.08;95.9200;95.8400;9930
2019.05.09;95.0000;95.0300;12343
2019.05.10;94.9000;94.4900;13607
2019.05.13;91.8500;91.1500;14174
2019.05.14;91.9900;92.0200;10935
2019.05.15;91.3500;93.5700;10416
2019.05.16;94.2900;95.3800;11170
2019.05.17;94.6500;93.3800;10856
2019.05.20;92.6200;92.9000;9373
2019.05.21;93.7400;92.9100;9790
2019.05.22;92.5900;92.9700;7271
2019.05.23;91.8300;90.7700;10559
