date;open;close;tickvol
2019.01.02;12.8100;13.1600;1904
2019.01.03;12.8400;12.4800;2793
2019.01.04;12.7700;12.6500;4443
2019.01.07;13.0700;13.1200;4900
2019.01.08;13.3500;13.3800;2272
2019.01.09;13.4500;13.5600;1781
2019.01.10;13.4600;13.6200;1199
2019.01.11;13.5000;13.6300;1066
2019.01.14;13.5100;13.4700;1196
2019.01.15;13.5300;13.9300;2473
2019.01.16;13.9300;13.8300;1529
2019.01.17;13.7400;13.8200;2760
2019.01.18;14.3200;14.5100;5037
2019.01.22;14.3800;13.9500;2525
2019.01.23;14.0600;13.8900;1267
2019.01.24;13.9100;14.1500;1350
2019.01.25;14.2200;14.2000;2946
2019.01.28;13.9700;13.4600;4417
2019.01.29;13.4500;12.9000;4342
2019.01.30;13.0600;13.1400;2882
2019.01.31;13.1600;13.4200;2149
2019.02.01;13.4600;13.7800;3204
2019.02.04;13.7600;13.6500;1527
2019.02.05;13.6800;14.0100;2169
2019.02.06;14.0300;14.0500;1817
2019.02.07;13.9300;13.7700;1546
2019.02.08;13.6500;14.1500;2456
2019.02.11;14.2300;14.3200;2622
2019.02.12;14.4600;14.9000;4771
2019.02.13;15.0000;14.7700;3519
2019.02.14;14.8000;15.0500;5135
2019.02.15;16.2400;16.4900;15176
2019.02.19;16.5000;16.8500;6260
2019.02.20;16.8900;16.9200;4100
2019.02.21;16.7600;16.9100;2313
2019.02.22;16.9900;17.1800;2509
2019.02.25;17.4100;17.4500;2833
2019.02.26;17.3900;17.5300;2237
2019.02.27;17.5300;17.7500;2486
2019.02.28;17.7500;17.8300;2070
2019.03.01;17.9800;17.9100;2850
2019.03.04;18.0000;17.7700;2810
2019.03.05;17.8000;17.3600;3428
2019.03.06;17.3200;17.1900;3519
2019.03.07;17.2200;17.2600;1862
2019.03.08;16.8500;17.1600;1661
2019.03.11;17.4300;17.6100;1686
2019.03.12;17.8100;17.8200;2086
2019.03.13;18.2500;18.4400;2980
2019.03.14;18.3100;18.2900;1345
2019.03.15;18.5400;18.5500;1897
2019.03.18;18.7100;18.7000;1879
2019.03.19;18.7400;18.5000;2741
2019.03.20;18.5900;18.6500;1730
2019.03.21;19.6200;19.7500;4402
2019.03.22;19.4200;18.7800;3386
2019.03.25;18.5500;18.8300;1538
2019.03.26;19.3300;19.3600;2560
2019.03.27;19.5100;19.4600;2383
2019.03.28;19.6000;19.5200;1944
2019.03.29;19.7300;19.5600;1474
2019.04.01;19.9200;19.8900;2766
2019.04.02;19.9400;19.9000;2417
2019.04.03;20.1700;20.1100;2305
2019.04.04;20.1300;19.5600;3672
2019.04.05;19.6500;19.4400;3650
2019.04.08;19.3900;19.8100;2080
2019.04.09;19.7400;19.8200;1496
2019.04.10;19.8500;20.1500;2115
2019.04.11;20.2500;20.1400;1505
2019.04.12;20.3100;20.3000;1401
2019.04.15;20.3100;20.4700;1632
2019.04.16;20.5900;20.5300;2014
2019.04.17;20.6900;20.5000;1488
2019.04.18;20.5300;20.2200;2047
2019.04.22;20.1900;20.4800;1841
2019.04.23;20.1700;20.0600;2948
2019.04.24;20.0700;20.3300;2696
2019.04.25;20.2200;19.8800;2393
2019.04.26;19.8200;20.0300;2098
2019.04.29;20.0900;19.8100;2931
2019.04.30;19.7300;19.5200;4662
2019.05.01;19.6800;19.4100;3177
2019.05.02;19.3300;19.4400;4130
2019.05.03;16.3700;17.4000;19920
2019.05.06;16.7500;17.0800;7845
2019.05.07;16.9100;16.6000;5611
2019.05.08;16.6100;16.6300;4585
2019.05.09;16.4600;16.7200;3605
2019.05.10;16.6100;16.5100;3853
2019.05.13;16.0300;15.2300;5575
2019.05.14;15.4700;15.5500;3326
2019.05.15;15.4300;15.5400;2730
2019.05.16;15.7000;15.8500;2972
2019.05.17;15.6100;15.6300;4005
2019.05.20;15.4700;15.3000;2426
2019.05.21;15.3900;15.8100;2936
2019.05.22;15.7500;15.8300;2832
2019.05.23;15.5700;15.9000;4352
2019.05.24;16.0500;16.0000;4027
2019.05.28;16.0300;15.8400;1636
2019.05.29;15.6700;15.4700;2022
2019.05.30;15.6100;15.4900;1393
2019.05.31;15.2600;15.2900;2276
2019.06.03;15.2300;15.0900;3091
2019.06.04;15.3200;15.9200;2792
2019.06.05;16.1100;16.4800;5608
2019.06.06;16.5100;16.0800;2663
2019.06.07;15.6700;15.4000;7242
2019.06.10;15.4900;15.6300;3986
2019.06.11;15.7500;15.1900;2902
2019.06.12;15.1700;15.2400;2711
2019.06.13;15.3600;15.1300;3520
2019.06.14;15.0300;14.7600;3351
2019.06.17;14.8100;14.9200;2889
2019.06.18;15.0800;15.1400;2719
2019.06.19;15.2500;15.2000;2142
2019.06.20;15.5000;15.5500;2141
2019.06.21;15.5600;15.8500;2640
2019.06.24;15.8300;15.7600;2520
2019.06.25;15.7300;15.4000;1737
2019.06.26;15.6700;15.9600;4814
2019.06.27;16.0500;16.1300;4395
2019.06.28;16.1900;16.2300;1855
2019.07.01;16.5900;16.4400;2207
2019.07.02;16.4300;16.5800;2245
2019.07.03;16.6200;16.8000;1713
2019.07.05;16.7600;16.9200;2015
2019.07.08;16.8400;16.7600;1898
2019.07.09;16.6200;16.9100;1677
2019.07.10;17.0100;16.9000;1601
2019.07.11;16.9600;16.9900;2000
2019.07.12;17.0000;17.1400;1424
2019.07.15;17.2500;17.3500;2330
2019.07.16;17.2500;17.2200;2338
2019.07.17;17.2300;17.3300;1673
2019.07.18;17.3300;17.2200;2736
2019.07.19;17.6300;17.6700;3652
2019.07.22;17.7400;17.9600;2153
2019.07.23;18.0300;17.2700;3890
2019.07.24;17.3100;17.4500;3133
2019.07.25;17.4200;16.7100;4980
2019.07.26;16.8000;17.0600;2781
2019.07.29;17.0300;17.0100;2304
2019.07.30;17.0200;17.1400;2165
2019.07.31;17.1400;17.0900;2474
2019.08.01;17.0800;17.0400;3851
2019.08.02;15.9200;15.2800;9750
2019.08.05;14.8100;14.4300;5101
2019.08.06;14.7200;14.7400;3231
2019.08.07;14.4400;14.6900;2662
2019.08.08;14.8600;14.6600;3249
2019.08.09;14.5500;14.2900;4587
2019.08.12;14.1900;14.0300;2209
2019.08.13;14.0000;14.4300;2745
2019.08.14;14.1900;13.7100;3831
2019.08.15;13.6900;13.5400;4155
2019.08.16;13.7200;13.8200;2076
2019.08.19;14.1300;13.9700;2316
2019.08.20;13.9300;13.7000;1886
2019.08.21;13.9100;14.1700;2399
2019.08.22;14.2500;14.2100;2761
2019.08.23;14.1600;13.9700;2842
2019.08.26;14.1500;13.9500;1249
2019.08.27;13.9900;13.9900;1646
2019.08.28;13.8600;13.9000;1693
2019.08.29;14.1200;14.2200;1593
2019.08.30;14.1300;14.1600;1718
2019.09.03;14.1200;14.0200;1252
2019.09.04;14.2000;14.1400;2035
2019.09.05;14.3600;14.7200;2468
2019.09.06;14.7500;14.7300;2072
2019.09.09;14.8800;14.4400;2191
2019.09.10;14.2900;14.8700;2375
2019.09.11;14.9200;15.4300;2914
2019.09.12;15.4700;15.6200;3832
2019.09.13;15.5700;15.2300;2061
2019.09.16;15.0500;15.2600;1099
2019.09.17;15.1300;15.2800;1948
2019.09.18;15.3500;15.4100;1705
2019.09.19;15.4500;15.2600;1921
2019.09.20;15.3600;14.9900;1736
2019.09.23;15.0100;15.0500;1910
2019.09.24;15.2100;14.8900;1774
2019.09.25;14.8400;15.1000;1394
2019.09.26;15.0000;15.2500;1197
2019.09.27;15.3100;15.1700;1365
2019.09.30;15.1900;14.9400;2687
2019.10.01;15.0400;14.3900;2653
2019.10.02;14.2000;14.2700;2178
2019.10.03;13.8100;14.0200;2973
2019.10.04;14.0500;14.2800;1072
2019.10.07;14.3600;14.4300;1136
2019.10.08;14.3300;14.3200;1341
2019.10.09;14.4900;14.3800;1695
2019.10.10;14.2800;14.2300;2299
2019.10.11;14.4400;14.7800;1873
2019.10.14;14.7700;14.6700;1228
2019.10.15;14.7200;15.0600;1437
2019.10.16;14.9200;14.9400;1518
2019.10.17;15.0100;15.0900;1335
2019.10.18;15.0400;14.9600;1096
2019.10.21;15.1000;15.2400;1269
2019.10.22;15.3300;15.1000;1629
2019.10.23;15.0200;15.4200;1163
2019.10.24;15.3800;14.9600;3003
2019.10.25;15.0000;15.2700;2669
2019.10.28;15.5500;15.5600;2107
2019.10.29;15.5000;15.3700;962
2019.10.30;15.3800;15.3900;1696
2019.10.31;15.3800;11.6700;3592
2019.11.01;11.4900;11.5800;20233
2019.11.04;11.7300;11.9500;9391
2019.11.05;12.0100;11.8000;6213
2019.11.06;11.8500;11.9000;4660
2019.11.07;12.0100;12.1600;4100
2019.11.08;12.1800;12.0400;2984
2019.11.11;12.0000;11.9500;2493
2019.11.12;11.9300;12.1200;3634
2019.11.13;12.1300;11.9200;2176
2019.11.14;11.8500;11.9100;4331
2019.11.15;12.0600;12.0400;2894
2019.11.18;12.0500;12.0600;2222
2019.11.19;12.2100;12.1300;1893
2019.11.20;12.1300;12.1300;2570
2019.11.21;12.1300;12.0000;2203
2019.11.22;12.0900;12.1600;2142
