date;open;close;tickvol
2019.01.02;143.2700;144.0400;3124
2019.01.03;143.3100;141.8800;4433
2019.01.04;143.1400;144.5500;7063
2019.01.07;143.8900;144.1900;3009
2019.01.08;144.2100;144.9200;4335
2019.01.09;145.5300;145.1300;5092
2019.01.10;145.0900;147.6300;3759
2019.01.11;146.5700;147.2400;3182
2019.01.14;146.3300;147.5800;2352
2019.01.15;147.6300;149.6500;2470
2019.01.16;149.8300;150.9700;3022
2019.01.17;150.3600;152.4700;2733
2019.01.18;153.0600;154.3900;2357
2019.01.22;154.0700;153.7400;2634
2019.01.23;154.0000;154.0500;2698
2019.01.24;153.8500;153.8800;4139
2019.01.25;154.6200;154.3700;1774
2019.01.28;153.4600;153.6400;2364
2019.01.29;153.2700;152.4000;2792
2019.01.30;152.6600;154.4900;8254
2019.01.31;153.7600;156.7400;5398
2019.02.01;157.8100;167.4600;11177
2019.02.04;168.5000;166.8600;6430
2019.02.05;167.3200;168.7300;4173
2019.02.06;168.2600;168.3500;4367
2019.02.07;167.2700;166.8900;3614
2019.02.08;166.4800;168.1600;2923
2019.02.11;168.7300;170.7500;4330
2019.02.12;171.6100;171.2900;4251
2019.02.13;171.5800;172.9400;3518
2019.02.14;171.6000;169.6500;3111
2019.02.15;171.4500;171.9600;4175
2019.02.19;171.3100;172.6600;4024
2019.02.20;172.7400;172.8400;2941
2019.02.21;172.9300;172.4200;3004
2019.02.22;172.4600;172.0600;3409
2019.02.25;172.2800;171.2500;3330
2019.02.26;170.9500;171.3300;3326
2019.02.27;170.6800;171.2000;2074
2019.02.28;171.1000;171.4900;3227
2019.03.01;172.7500;171.7000;3034
2019.03.04;171.9900;170.6600;2271
2019.03.05;171.3200;157.2000;21879
2019.03.06;166.3500;163.9700;9454
2019.03.07;163.4000;162.6100;5948
2019.03.08;161.5900;162.0600;3185
2019.03.11;164.2200;164.7100;2873
2019.03.12;165.6700;166.4800;2715
2019.03.13;167.8800;167.0900;2238
2019.03.14;168.1400;168.5800;2321
2019.03.15;168.6400;170.0000;2815
2019.03.18;169.8600;169.2000;2060
