date;open;close;tickvol
2019.01.02;157.3900;159.6200;3367
2019.01.03;159.1400;155.3100;4505
2019.01.04;158.0700;161.6100;3354
2019.01.07;161.5600;159.9500;5064
2019.01.08;158.3500;158.0900;7306
2019.01.09;157.4000;156.7800;9432
2019.01.10;156.5700;157.2700;5197
2019.01.11;156.8100;156.7500;3634
2019.01.14;155.7600;155.1200;3285
2019.01.15;154.3700;155.0900;2707
2019.01.16;155.0700;154.6100;3959
2019.01.17;154.1900;155.9600;6065
2019.01.18;156.8700;158.6100;4385
2019.01.22;157.8700;157.7800;3028
2019.01.23;157.6300;156.1100;4172
2019.01.24;155.4700;156.4600;3241
2019.01.25;159.6000;160.8800;6766
2019.01.28;161.0900;159.8600;4373
2019.01.29;160.4200;163.2300;4192
2019.01.30;163.5700;163.9700;3419
2019.01.31;161.7700;164.3500;3330
2019.02.01;165.0000;165.9000;3689
2019.02.04;165.7500;166.8800;2413
2019.02.05;167.5300;167.8900;3884
2019.02.06;167.0000;169.9100;5641
2019.02.07;169.3600;166.2200;4069
2019.02.08;165.1600;165.8900;2512
2019.02.11;166.2400;167.5300;4302
2019.02.12;169.2600;171.3100;4250
2019.02.13;172.0000;171.9600;3905
2019.02.14;170.9200;171.6100;3551
2019.02.15;173.4600;174.0800;4617
2019.02.19;173.2800;175.1500;3989
2019.02.20;175.3000;177.6800;5715
2019.02.21;177.5300;178.7100;3819
2019.02.22;179.8200;180.1100;4638
2019.02.25;180.4900;181.1400;3634
2019.02.26;181.1200;181.4600;2636
2019.02.27;181.1800;181.6000;2720
2019.02.28;181.3000;181.1400;3403
2019.03.01;182.4600;180.1500;4307
2019.03.04;180.9900;180.7100;3319
2019.03.05;179.8700;179.2300;2629
2019.03.06;180.6800;180.3000;2399
2019.03.07;180.4500;179.7100;3251
2019.03.08;179.1900;181.3600;2810
2019.03.11;183.1600;183.9500;2274
2019.03.12;184.9700;184.0500;1747
2019.03.13;184.8900;185.1000;2556
2019.03.14;184.2000;185.2100;2861
2019.03.15;185.1500;184.8500;2062
2019.03.18;184.9100;185.3700;1681
2019.03.19;185.8200;184.9000;2185
2019.03.20;183.9500;184.6500;2300
2019.03.21;185.6600;187.1900;1767
2019.03.22;187.1600;186.3000;4182
2019.03.25;186.3600;185.9200;3728
2019.03.26;186.6400;187.1600;3054
2019.03.27;187.1800;187.6500;2878
2019.03.28;189.6700;190.1700;2751
2019.03.29;189.7200;190.9600;3502
2019.04.01;192.1500;191.4500;4328
2019.04.02;191.3000;190.5300;4343
2019.04.03;191.8600;191.6900;3209
2019.04.04;192.1900;191.7500;3010
2019.04.05;192.2500;193.2100;2711
2019.04.08;193.5500;193.0400;2711
2019.04.09;191.9300;192.2600;2017
2019.04.10;192.8800;193.0500;1695
2019.04.11;192.4900;193.5100;2687
2019.04.12;194.4400;194.1600;3258
2019.04.15;193.3000;193.9500;3453
2019.04.16;194.5300;197.0500;3859
2019.04.17;198.1400;197.7500;3345
2019.04.18;198.0700;198.0900;3508
2019.04.22;197.4300;196.6300;2976
2019.04.23;196.5900;196.6700;4039
2019.04.24;197.4500;199.4200;6646
2019.04.25;199.4100;199.5700;4151
2019.04.26;200.3300;202.5900;4056
2019.04.29;203.0000;203.5700;3342
2019.04.30;204.3500;205.7600;2894
2019.05.01;206.7200;202.1600;3410
2019.05.02;202.4600;207.6500;4424
2019.05.03;207.5000;209.5600;5025
2019.05.06;206.8800;205.9800;7318
2019.05.07;204.0700;201.1700;6011
2019.05.08;200.2900;205.2600;3492
2019.05.09;203.0000;204.4400;4069
2019.05.10;204.2000;208.2900;3679
2019.05.13;203.8000;204.5700;4715
2019.05.14;205.3900;205.7500;3864
2019.05.15;203.8900;205.0500;2289
2019.05.16;207.0500;209.4700;3321
2019.05.17;208.5700;209.8900;3554
2019.05.20;208.9200;205.3800;5434
2019.05.21;206.7500;207.0200;4082
2019.05.22;206.3000;206.2600;2820
2019.05.23;204.8100;204.2300;3862
2019.05.24;206.8700;204.5400;2810
2019.05.28;205.2200;202.3100;2730
2019.05.29;200.7100;203.0000;3713
2019.05.30;203.0600;204.2200;2535
2019.05.31;202.4700;203.6000;2602
2019.06.03;204.1800;208.8200;4446
2019.06.04;209.9500;213.6400;4605
2019.06.05;214.9000;217.2100;3053
2019.06.06;217.8200;221.4900;4597
2019.06.07;221.9400;222.9800;4412
2019.06.10;224.2900;221.3400;3314
2019.06.11;222.9900;219.0400;4946
2019.06.12;219.2900;219.9600;3709
2019.06.13;220.5500;220.2200;3508
2019.06.14;220.2800;219.2800;2423
2019.06.17;219.4000;216.8400;2815
2019.06.18;218.3800;218.8600;2778
2019.06.19;218.7800;220.3600;3212
2019.06.20;222.1000;222.0400;3312
2019.06.21;222.4300;222.1600;2267
2019.06.24;222.7700;223.6700;2118
2019.06.25;224.2000;224.7000;2023
2019.06.26;224.9500;223.8900;2273
2019.06.27;224.3700;223.4800;2034
2019.06.28;223.4800;226.3000;2953
2019.07.01;227.5100;228.8300;2213
2019.07.02;228.5900;230.2700;2480
2019.07.03;229.8200;231.4000;1431
2019.07.05;229.6000;230.5800;1795
2019.07.08;230.3600;228.3800;2269
2019.07.09;228.3400;226.0600;3971
2019.07.10;227.8400;226.2400;2128
2019.07.11;225.5000;227.7300;2241
2019.07.12;226.5200;227.1300;1895
2019.07.15;227.4300;227.6200;1670
2019.07.16;227.6700;227.0300;1724
2019.07.17;227.8600;226.4300;3826
2019.07.18;224.6200;225.5400;3604
2019.07.19;225.9400;224.5500;2368
2019.07.22;225.5400;226.0100;2484
2019.07.23;226.7000;228.8900;2773
2019.07.24;227.5700;224.9500;3461
2019.07.25;224.0000;227.6300;4419
2019.07.26;227.7200;230.5500;5373
2019.07.29;230.6600;231.1900;2815
2019.07.30;230.3300;231.8200;3283
