date;open;close;tickvol
2019.01.02;19.9200;19.9500;4733
2019.01.03;19.5600;18.7800;10208
2019.01.04;19.0800;19.3800;10257
2019.01.07;19.3700;19.5400;3097
2019.01.08;19.6700;19.7900;6751
2019.01.09;20.0400;20.1200;3729
2019.01.10;20.0900;20.4500;4336
2019.01.11;20.3000;20.3800;1968
2019.01.14;20.1700;20.2600;3457
2019.01.15;20.3400;20.2800;2272
2019.01.16;20.2500;20.3400;2345
2019.01.17;20.2400;20.4600;2372
2019.01.18;20.5000;20.6200;4305
2019.01.22;20.4500;20.2600;5701
2019.01.23;20.1100;20.8700;10494
2019.01.24;20.9600;21.3000;7407
2019.01.25;21.5100;21.5800;7321
2019.01.28;21.4000;21.4400;4125
2019.01.29;21.5900;21.5200;3183
2019.01.30;21.6800;22.0500;5314
2019.01.31;21.9900;21.9800;3595
2019.02.01;22.0000;22.0000;4198
2019.02.04;21.9800;22.1200;2803
2019.02.05;22.1800;22.4500;4414
2019.02.06;22.4000;22.4500;3451
2019.02.07;22.3600;22.4700;3027
2019.02.08;22.3000;22.5700;2378
2019.02.11;22.6200;22.5200;2549
2019.02.12;22.6300;22.9000;3399
2019.02.13;22.9300;22.9700;2288
2019.02.14;22.9100;22.7900;3369
2019.02.15;22.9800;23.1800;2870
2019.02.19;23.1100;23.1200;2935
2019.02.20;23.1600;23.3700;3878
2019.02.21;23.3300;23.3300;3787
2019.02.22;23.4700;23.5900;3108
2019.02.25;23.7000;23.7800;3639
2019.02.26;23.6800;23.5600;3903
2019.02.27;23.4400;23.5500;2013
2019.02.28;23.5100;23.5000;2388
2019.03.01;23.6600;23.7800;3341
2019.03.04;23.8500;23.6200;2284
2019.03.05;23.7400;23.6900;2423
2019.03.06;23.7200;23.5100;2223
2019.03.07;23.4600;23.3500;2165
2019.03.08;23.1800;23.2200;3119
2019.03.11;23.4000;23.4900;1698
2019.03.12;23.4800;23.5000;1860
2019.03.13;23.7000;23.6100;2489
2019.03.14;23.6100;23.5800;2482
2019.03.15;23.8500;23.8600;3290
2019.03.18;23.8900;23.8600;2142
2019.03.19;23.9300;23.9300;2901
2019.03.20;23.8700;23.8000;2610
2019.03.21;24.0500;24.1400;2000
2019.03.22;23.9000;23.6400;1982
2019.03.25;23.5400;23.5500;1967
2019.03.26;23.7100;23.6300;1706
2019.03.27;23.5800;23.4300;2962
2019.03.28;23.5800;23.5100;2911
2019.03.29;23.6100;23.6100;2604
2019.04.01;23.9200;24.4500;6666
2019.04.02;24.5100;24.9400;7417
2019.04.03;25.0000;25.2300;7194
2019.04.04;25.2300;25.4400;5119
2019.04.05;25.5200;25.6800;3411
2019.04.08;25.6300;25.7000;2497
2019.04.09;25.5700;25.3600;2551
2019.04.10;25.4000;25.4700;2098
2019.04.11;25.5000;25.7300;2118
2019.04.12;25.7600;25.9500;1416
2019.04.15;25.9500;25.9700;3117
2019.04.16;26.0300;25.9000;4145
2019.04.17;26.0700;25.9900;3601
2019.04.18;26.0500;26.1400;3141
2019.04.22;26.0200;25.9800;2904
2019.04.23;26.0200;26.3500;4011
2019.04.24;23.7800;25.6300;12738
2019.04.25;25.3100;25.1600;4827
2019.04.26;25.1300;24.9900;7645
2019.04.29;24.9900;24.7300;7398
2019.04.30;24.6500;24.8900;6088
2019.05.01;25.1300;24.9800;6452
2019.05.02;25.0300;24.7900;3953
2019.05.03;24.9400;25.0000;4108
2019.05.06;24.4600;24.6000;8802
2019.05.07;24.2900;24.0700;7560
2019.05.08;24.0300;23.6400;12149
2019.05.09;23.3800;23.5700;5577
2019.05.10;23.4300;23.6800;4516
2019.05.13;23.0600;23.0400;6528
2019.05.14;23.1300;23.0800;3301
2019.05.15;22.9300;23.3200;3560
2019.05.16;23.3000;23.2700;5014
2019.05.17;23.0100;22.9000;3878
2019.05.20;22.5900;22.4200;3677
2019.05.21;22.6400;22.8200;3681
2019.05.22;22.7900;22.6500;2598
2019.05.23;22.3800;22.3700;2936
2019.05.24;22.4900;22.3800;4116
2019.05.28;22.5100;22.1800;4827
2019.05.29;22.1300;21.9000;6998
2019.05.30;21.9700;22.1300;3506
2019.05.31;21.9600;21.7500;4017
2019.06.03;21.8000;21.7800;3866
2019.06.04;22.0800;22.4000;7490
2019.06.05;22.5900;22.7000;3037
2019.06.06;22.8200;22.9800;3569
2019.06.07;23.1400;23.2900;2994
2019.06.10;23.4300;23.5400;3602
2019.06.11;23.9300;23.8900;5847
2019.06.12;23.8500;23.8700;4578
2019.06.13;23.9300;24.2300;4404
2019.06.14;23.8900;23.5700;4739
2019.06.17;23.5000;23.3800;4190
2019.06.18;23.3500;23.5200;8244
2019.06.19;23.6800;23.6000;5004
2019.06.20;24.0000;23.9700;4864
2019.06.21;24.0000;23.8700;3201
2019.06.24;23.9000;23.9000;3658
2019.06.25;23.7800;23.7000;2939
2019.06.26;23.8900;23.8600;3789
2019.06.27;23.9700;23.9100;2724
2019.06.28;24.0000;23.9800;3956
2019.07.01;24.4100;24.4700;4112
2019.07.02;24.4800;24.5900;3014
2019.07.03;24.7400;24.7800;2052
2019.07.05;24.5400;24.5800;2426
2019.07.08;24.4600;24.3900;3457
2019.07.09;24.2400;24.4000;3541
2019.07.10;24.5100;24.3800;3227
2019.07.11;24.3300;24.2300;2779
2019.07.12;24.3700;24.7600;2692
2019.07.15;24.7700;24.7500;2136
2019.07.16;24.4900;24.4700;3664
2019.07.17;24.4900;24.2500;3039
2019.07.18;24.2500;24.1100;6388
2019.07.19;24.3000;24.1600;4714
2019.07.22;24.2200;24.2900;4954
2019.07.23;24.4600;24.6000;5767
2019.07.24;23.5000;23.1000;13373
2019.07.25;23.0300;23.4700;11754
2019.07.26;23.4800;23.8200;5563
2019.07.29;23.8500;23.9800;5797
2019.07.30;23.7400;23.7000;3856
2019.07.31;23.7600;23.3300;3600
2019.08.01;23.3000;22.7000;7389
2019.08.02;22.5300;22.2800;6132
2019.08.05;21.7900;21.5500;7489
2019.08.06;21.7700;21.8200;4863
2019.08.07;21.5700;21.9500;3730
2019.08.08;22.1100;22.1900;5232
2019.08.09;22.1100;21.7300;5126
2019.08.12;21.5600;21.5200;4438
2019.08.13;21.4000;22.0100;5342
2019.08.14;21.6000;21.3200;4807
2019.08.15;21.2900;21.1000;5491
2019.08.16;21.2200;21.6500;3312
2019.08.19;21.9000;22.0500;5263
2019.08.20;21.9600;21.6800;4001
2019.08.21;21.8900;22.0500;6186
2019.08.22;22.1700;21.9700;2488
2019.08.23;21.8400;21.3600;3529
2019.08.26;21.5600;21.3100;3740
2019.08.27;21.4100;21.2500;1977
2019.08.28;21.2100;21.3000;2468
2019.08.29;21.6300;21.9100;3272
2019.08.30;22.0900;21.8900;2113
2019.09.03;21.6000;21.4200;2418
2019.09.04;21.8100;21.6800;2674
2019.09.05;21.9800;22.4500;3158
2019.09.06;22.4700;22.3300;3133
2019.09.09;22.4900;22.2500;3552
2019.09.10;22.1200;22.4000;3977
2019.09.11;22.4000;22.8700;3127
2019.09.12;22.9500;23.4900;7519
2019.09.13;23.6000;23.6800;8098
2019.09.16;23.6400;23.7600;6342
2019.09.17;23.4400;23.7700;4556
2019.09.18;23.6900;23.5700;4357
2019.09.19;23.6000;23.5500;2808
2019.09.20;23.6600;23.4400;3622
2019.09.23;23.3000;23.4100;3169
2019.09.24;23.4900;23.4600;3773
2019.09.25;23.4500;24.0300;5454
2019.09.26;24.1000;24.1100;5572
2019.09.27;24.1300;23.9300;5000
2019.09.30;24.1000;24.1300;2403
2019.10.01;24.2500;23.8200;4589
2019.10.02;23.5900;23.3500;3793
2019.10.03;23.4700;23.6600;2709
2019.10.04;23.6900;24.0400;2393
2019.10.07;23.9400;23.8400;2721
2019.10.08;23.6100;23.3000;2838
2019.10.09;23.5600;23.7400;3749
2019.10.10;23.6800;23.8700;3069
2019.10.11;24.1700;24.2500;4061
2019.10.14;24.2100;24.2300;4188
2019.10.15;24.2100;24.6000;4173
2019.10.16;24.5400;24.6900;3983
2019.10.17;24.7500;24.6600;2577
2019.10.18;24.6400;24.7500;3063
2019.10.21;24.9100;25.1000;4406
2019.10.22;24.8100;24.7800;4722
2019.10.23;25.3500;25.3900;7696
2019.10.24;25.4100;25.4500;4533
2019.10.25;25.4700;25.0500;6826
2019.10.28;25.1800;25.3000;5119
2019.10.29;25.1100;25.2500;2620
2019.10.30;24.9600;25.2100;2766
2019.10.31;25.1200;25.0800;2813
2019.11.01;25.3400;25.7000;4423
2019.11.04;25.8200;26.0500;3995
2019.11.05;26.0600;26.1100;5485
2019.11.06;25.9500;25.7300;3343
2019.11.07;25.8500;25.6200;2992
2019.11.08;25.5700;25.6800;2500
2019.11.11;25.5400;25.5300;2370
2019.11.12;25.5600;25.3900;2393
2019.11.13;25.3100;25.4200;2723
2019.11.14;25.3900;25.2800;2352
2019.11.15;25.4000;25.5600;3218
2019.11.18;25.6200;25.6000;2710
2019.11.19;25.7400;25.8300;2408
2019.11.20;25.5900;25.5500;3142
2019.11.21;25.5800;25.4500;2424
2019.11.22;25.5700;25.4300;1929
2019.11.25;25.5000;25.8200;3699
2019.11.26;25.8600;25.7700;2722
2019.11.27;25.8000;25.9500;3018
2019.11.29;25.8700;26.0000;1123
2019.12.02;26.0200;25.6900;2195
2019.12.03;25.4000;25.4400;2826
2019.12.04;25.6000;25.7500;1952
2019.12.05;25.8800;25.7500;2432
2019.12.06;25.9900;26.0100;2401
2019.12.09;25.9400;26.1100;2220
2019.12.10;26.1800;26.2800;3391
2019.12.11;26.2700;26.4900;2923
2019.12.12;26.3700;27.0100;3623
2019.12.13;26.9000;26.7800;3463
2019.12.16;27.1300;26.9500;2167
2019.12.17;26.9800;26.7300;2839
2019.12.18;26.7300;26.5600;3181
2019.12.19;26.6400;26.7500;2366
2019.12.20;26.9400;26.7900;2174
2019.12.23;26.9400;26.8200;1468
2019.12.24;26.8500;26.8100;473
2019.12.26;26.8300;27.0000;1070
2019.12.27;27.0200;27.0200;1521
2019.12.30;27.0300;27.0700;1586
2019.12.31;26.9500;27.0600;1829
2020.01.02;27.1100;27.3100;2915
2020.01.03;26.9000;27.0200;1912
2020.01.06;26.8100;26.8800;2259
2020.01.07;26.9200;27.0300;2576
2020.01.08;26.9900;27.0900;2248
2020.01.09;27.2400;27.1800;2977
2020.01.10;27.1800;27.0800;1876
2020.01.13;27.1500;27.2800;2654
2020.01.14;27.2000;27.3700;2740
2020.01.15;27.4800;27.1800;2224
2020.01.16;27.3000;27.4500;1996
2020.01.17;27.3300;27.3600;3627
2020.01.21;27.1500;27.0300;4759
2020.01.22;26.7900;26.6500;10508
2020.01.23;26.5800;26.6000;4537
