date;open;close;tickvol
2025.10.27;86.9550;86.1100;1698
2025.10.28;85.8550;86.6300;2920
2025.10.29;85.5600;85.7850;3348
2025.10.30;81.1000;82.0700;5326
2025.10.31;81.1900;81.0700;5884
2025.11.03;80.9600;81.7600;6420
2025.11.04;80.4900;80.8450;5030
2025.11.05;80.7500;83.6100;3865
2025.11.06;83.3800;82.1200;3148
2025.11.07;81.8750;83.6800;3912
2025.11.10;84.0500;82.5300;4944
2025.11.11;82.4600;81.5600;3909
2025.11.12;81.7600;82.7500;3208
2025.11.13;82.6882;81.0200;3504
2025.11.14;79.7550;78.9100;3409
2025.11.17;78.2400;76.8200;3786
2025.11.18;76.1350;75.7550;7477
2025.11.19;75.6150;72.3550;8001
2025.11.20;73.2500;70.3050;7916
2025.11.21;71.0900;74.1100;6132
2025.11.24;74.5350;74.8500;5058
2025.11.25;75.2200;76.3800;4443
2025.11.26;75.9100;76.8600;2491
2025.11.28;77.4700;77.5550;1625
2025.12.01;77.2400;76.9900;3845
2025.12.02;77.4300;77.4600;2937
2025.12.03;77.8500;78.1100;3280
2025.12.04;77.8500;76.4100;2925
2025.12.05;76.4300;76.3750;2943
2025.12.08;77.3200;77.1100;4640
2025.12.09;76.7600;76.3850;2558
2025.12.10;76.8700;78.5600;3860
2025.12.11;78.9800;79.8900;3741
2025.12.12;80.1750;78.7600;2326
2025.12.15;78.8800;77.3250;3666
2025.12.16;77.1900;77.4200;3756
2025.12.17;77.5100;76.7600;3456
2025.12.18;77.4850;77.6000;3265
2025.12.19;78.0150;78.2600;4865
2025.12.22;78.3800;77.1500;4493
2025.12.23;77.1000;76.3500;4013
2025.12.24;76.7200;76.7325;1244
2025.12.26;76.8700;76.9250;1468
2025.12.29;76.7300;76.7950;1071
2025.12.30;76.9950;76.9100;1319
2025.12.31;76.7000;76.1100;1470
2026.01.02;76.8900;78.4300;2504
2026.01.05;78.1700;80.5000;3239
2026.01.06;80.0100;82.6150;3706
2026.01.07;82.9300;82.1500;3715
2026.01.08;83.5500;86.4500;5268
2026.01.09;86.4950;88.6750;4434
2026.01.12;87.9100;86.8400;5671
2026.01.13;88.2750;88.2800;3192
2026.01.14;88.0800;82.9100;7369
2026.01.15;84.4500;82.5500;3917
2026.01.16;82.5650;78.6000;9698
2026.01.20;77.6250;77.1800;4864
2026.01.21;77.6700;80.2803;4542
2026.01.22;80.7300;77.5200;4229
2026.01.23;77.1000;76.4500;2974
2026.01.26;76.6450;77.0500;1989
2026.01.27;78.5900;78.0400;2883
2026.01.28;77.9700;77.8200;4790
2026.01.29;78.3610;78.8200;3096
2026.01.30;76.2500;75.7900;5448
2026.02.02;74.6100;78.0100;5728
2026.02.03;79.5450;78.1900;7227
2026.02.04;79.3350;81.0200;4058
2026.02.05;81.0000;79.7300;3723
2026.02.06;79.9100;82.4000;1671
2026.02.09;82.7600;83.3400;3128
2026.02.10;83.8000;85.1000;2882
2026.02.11;85.5500;83.7450;5074
2026.02.12;84.4300;82.9950;5120
2026.02.13;83.1400;85.1800;3842
2026.02.17;84.5050;82.7850;3160
2026.02.18;82.7500;83.7800;2154
2026.02.19;82.2850;80.4450;2468
2026.02.20;80.2500;79.5600;2992
