date;open;close;tickvol
2023.09.14;56.2500;63.1200;227590
2023.09.15;68.6300;60.9000;141053
2023.09.18;58.0000;57.9600;63080
2023.09.19;56.2300;55.1000;34528
2023.09.20;55.1700;52.8500;32324
2023.09.21;51.7700;52.1800;30657
2023.09.22;52.9000;51.3500;19906
2023.09.25;51.1200;54.4100;29081
2023.09.26;53.9500;53.4600;14730
2023.09.27;54.2400;53.1000;13015
2023.09.28;53.3000;55.4800;20629
2023.09.29;56.2700;53.5500;17760
2023.10.02;53.3500;52.2900;18860
2023.10.03;51.9600;51.5500;13976
2023.10.04;52.0000;53.4700;20070
2023.10.05;53.8600;52.5500;8440
2023.10.06;52.6700;54.1100;11350
2023.10.09;54.4400;54.2500;21193
2023.10.10;55.2400;55.7100;11857
2023.10.11;56.0900;54.6600;11450
2023.10.12;54.7000;51.8200;18515
2023.10.13;52.5000;50.8200;16990
2023.10.16;51.0600;52.0600;9610
2023.10.17;51.0100;52.2500;6654
2023.10.18;52.2000;51.8900;6355
2023.10.19;52.1000;49.7300;11108
2023.10.20;49.7200;47.9000;22877
2023.10.23;47.1800;50.2400;28203
2023.10.24;52.0000;52.3800;17351
2023.10.25;52.7000;49.4400;13339
2023.10.26;50.0500;50.1500;11509
2023.10.27;51.2900;49.0600;7655
2023.10.30;47.8400;47.8000;7830
2023.10.31;48.4600;49.1000;7494
2023.11.01;49.2100;50.5300;9903
2023.11.02;52.3300;52.7100;11409
2023.11.03;52.5900;53.3200;5233
2023.11.06;53.9800;53.0900;6211
2023.11.07;53.4000;55.2600;13892
2023.11.08;55.2600;54.3900;15487
2023.11.09;51.0000;51.5700;39090
2023.11.10;51.9800;52.2400;14884
2023.11.13;52.2000;51.6500;13392
2023.11.14;52.9800;53.4300;10143
2023.11.15;54.2800;55.4100;15660
2023.11.16;55.5100;54.2200;8913
2023.11.17;55.1500;54.9900;8634
2023.11.20;55.4000;58.6700;22570
2023.11.21;57.9800;58.6100;15822
2023.11.22;59.1400;61.7600;42909
2023.11.24;61.4700;63.6100;15704
2023.11.27;63.0400;61.0100;19679
2023.11.28;60.8000;61.9200;11318
2023.11.29;62.5100;62.2100;9940
2023.11.30;62.5700;61.4700;12719
2023.12.01;61.5000;63.9000;16444
2023.12.04;63.8000;61.9000;13504
2023.12.05;61.6800;63.5800;21731
2023.12.06;64.4000;61.0600;15296
2023.12.07;61.5200;62.4300;9044
2023.12.08;62.2400;67.2000;34068
2023.12.11;67.2600;64.8900;22406
2023.12.12;64.9900;64.7000;16491
2023.12.13;65.2600;65.6300;18570
2023.12.14;66.5500;70.7300;33576
2023.12.15;70.5000;70.9800;18635
2023.12.18;69.9300;68.8600;12479
2023.12.19;69.2500;69.4700;11929
2023.12.20;69.4700;68.4300;22313
2023.12.21;70.0000;71.2000;15982
2023.12.22;72.1000;72.3100;15453
2023.12.26;73.3000;73.3900;11216
2023.12.27;74.4100;74.2500;8946
2023.12.28;74.7700;77.4700;21821
2023.12.29;78.3400;75.1600;24714
2024.01.02;73.5000;68.9000;27925
2024.01.03;67.0700;67.9100;22539
2024.01.04;69.0000;68.3900;16426
2024.01.05;69.2900;67.0400;18455
2024.01.08;67.7900;72.8400;24887
2024.01.09;72.7100;71.8500;15712
2024.01.10;73.0000;70.7800;18825
2024.01.11;71.7000;69.7600;16712
2024.01.12;70.8300;69.9800;9939
2024.01.16;69.9900;68.4700;19524
2024.01.17;68.0000;69.8500;16876
2024.01.18;72.0400;74.2200;26365
2024.01.19;75.0700;78.5900;23941
2024.01.22;78.5800;77.1100;20578
2024.01.23;77.0000;76.3500;11397
2024.01.24;77.2400;75.7300;14906
2024.01.25;76.4900;73.9100;23753
2024.01.26;73.0700;71.1600;21887
2024.01.29;72.0000;72.9400;11196
2024.01.30;73.4800;71.9600;11222
2024.01.31;70.6100;70.6700;13417
2024.02.01;71.9600;70.5200;10678
2024.02.02;71.1000;70.9700;12976
2024.02.05;71.9900;73.2700;20066
2024.02.06;74.9900;72.9800;18836
2024.02.07;73.0700;77.0100;30121
2024.02.08;94.0900;113.9000;239017
2024.02.09;105.9900;115.2100;106261
2024.02.12;120.2600;148.9700;265505
2024.02.13;128.1200;119.9900;164774
2024.02.14;133.8200;126.4000;97388
2024.02.15;131.1500;133.6100;82497
