date;open;close;tickvol
2019.01.02;92.2900;89.9200;2260
2019.01.03;89.8700;90.5300;2682
2019.01.04;90.1700;91.7200;1536
2019.01.07;91.4700;91.0400;1624
2019.01.08;90.9700;92.2000;3704
2019.01.09;92.2000;90.7100;1774
2019.01.10;90.7100;92.4600;2353
2019.01.11;92.7900;91.9100;1563
2019.01.14;91.5900;91.3400;2569
2019.01.15;90.8000;92.6300;1464
2019.01.16;92.7200;94.3600;2919
2019.01.17;94.2100;95.0100;2559
2019.01.18;95.0800;95.4300;1305
2019.01.22;95.2000;95.2300;1695
2019.01.23;95.4700;96.1500;1656
2019.01.24;96.4300;96.6500;1394
2019.01.25;96.5200;94.8300;2011
2019.01.28;94.9400;94.3400;1334
2019.01.29;94.7000;94.7800;1426
2019.01.30;94.5300;95.4900;2318
2019.01.31;95.4700;97.5700;1778
2019.02.01;97.2100;97.2000;2410
2019.02.04;96.7800;96.4600;1940
2019.02.05;96.4500;96.5800;2391
2019.02.06;94.0000;95.8500;4118
2019.02.07;95.6500;97.0400;2069
2019.02.08;97.3200;97.9800;2670
2019.02.11;96.3100;96.8600;10077
2019.02.12;97.0700;95.8300;7182
2019.02.13;95.6000;96.5800;7765
2019.02.14;96.8300;96.0800;15746
2019.02.15;96.2100;97.0300;8789
2019.02.19;97.1700;97.3000;3340
2019.02.20;97.3800;98.0000;2599
2019.02.21;97.5600;99.1300;2793
2019.02.22;98.7900;99.4900;2623
2019.02.25;99.5600;98.3400;2381
2019.02.26;98.6700;98.2600;2667
2019.02.27;97.8800;98.8600;1828
2019.02.28;98.5800;98.8600;2434
2019.03.01;99.0100;98.9200;2093
2019.03.04;99.8500;99.8700;2918
2019.03.05;99.9500;99.3700;3145
2019.03.06;99.4600;99.4800;2326
2019.03.07;99.7500;99.4600;1897
2019.03.08;99.5000;100.1500;1790
2019.03.11;100.1500;100.5600;1861
2019.03.12;100.8500;101.4000;2078
2019.03.13;101.8200;101.8100;1936
2019.03.14;101.8700;101.5000;1525
2019.03.15;101.7800;101.5100;2315
2019.03.18;102.0000;102.0000;1774
2019.03.19;101.7400;101.4800;2199
2019.03.20;101.1300;101.4100;1826
2019.03.21;102.2300;102.6500;1080
2019.03.22;102.9300;102.8100;1448
2019.03.25;102.9100;102.9300;2689
2019.03.26;103.4100;103.7200;1844
2019.03.27;103.2500;102.9400;1605
2019.03.28;102.7200;102.4800;1663
2019.03.29;102.8200;102.9300;2084
2019.04.01;102.9300;102.0500;2187
2019.04.02;102.3000;100.1900;10687
2019.04.03;100.3600;101.5200;2924
2019.04.04;101.7000;100.6400;1697
2019.04.05;100.6500;101.5400;1707
2019.04.08;101.4100;100.9100;1510
2019.04.09;100.9100;100.5700;1555
2019.04.10;100.7900;100.4600;1545
2019.04.11;100.4600;100.7000;1370
2019.04.12;100.4100;101.1900;1208
2019.04.15;101.4800;101.0900;984
2019.04.16;101.2000;100.1900;1621
2019.04.17;100.1100;99.4400;1650
2019.04.18;99.5700;99.1800;2584
2019.04.22;99.0800;99.0800;1454
2019.04.23;99.3700;99.5800;2638
2019.04.24;99.8100;100.0900;2902
2019.04.25;99.8000;100.9800;1432
2019.04.26;101.4900;100.9800;1313
2019.04.29;100.6000;100.5100;1350
2019.04.30;100.8200;102.3200;2103
2019.05.01;102.0600;101.9800;2320
2019.05.02;101.9400;102.0600;1600
2019.05.03;101.8400;102.9200;1627
2019.05.06;103.1900;103.0800;1689
2019.05.07;103.0000;102.1700;2137
2019.05.08;101.7200;100.7600;3259
