date;open;close;tickvol
2019.01.02;88.6400;90.0200;2348
2019.01.03;89.6300;87.0900;3034
2019.01.04;88.2700;90.4500;2609
2019.01.07;90.4000;90.9000;1111
2019.01.08;91.4000;91.7900;1401
2019.01.09;91.4800;91.7300;2226
2019.01.10;91.5100;93.5900;1461
2019.01.11;93.1100;94.5900;1682
2019.01.14;93.9500;93.9700;2379
2019.01.15;94.0000;93.7600;2239
2019.01.16;93.5400;93.3200;3044
2019.01.17;93.0600;94.8300;3141
2019.01.18;95.1500;96.5800;1588
2019.01.22;96.5000;96.5200;1558
2019.01.23;97.2100;95.4800;2081
2019.01.24;95.6700;95.9800;1850
2019.01.25;96.8000;97.2000;1469
2019.01.28;96.7800;97.8600;1908
2019.01.29;98.1000;98.7600;3632
2019.01.30;100.5500;102.2300;4518
2019.01.31;102.5000;104.4800;7001
2019.02.01;104.1900;104.4800;3492
2019.02.04;103.9300;103.6600;2493
2019.02.05;103.9500;104.7500;3393
2019.02.06;104.3300;104.1000;1631
2019.02.07;103.3000;103.0300;2357
2019.02.08;102.7000;102.8100;1231
2019.02.11;102.9700;101.9800;1968
2019.02.12;102.3600;104.0800;1449
2019.02.13;104.5000;104.4100;1519
2019.02.14;104.0100;103.9500;1433
2019.02.15;104.8300;104.9000;1536
2019.02.19;104.4900;104.9400;1699
2019.02.20;105.1300;106.4300;2114
2019.02.21;106.1500;105.6100;3134
2019.02.22;106.1000;106.9400;1541
2019.02.25;107.4900;107.9400;1908
2019.02.26;108.0400;106.8500;2419
2019.02.27;106.5700;107.7900;1943
2019.02.28;107.5800;108.0300;4298
2019.03.01;108.8800;109.7200;4529
2019.03.04;109.9800;109.3800;3170
2019.03.05;108.9500;108.8400;2684
2019.03.06;108.9900;107.9800;2526
2019.03.07;107.2200;107.7800;2297
2019.03.08;107.2100;108.4100;2349
2019.03.11;108.8300;109.1500;2737
2019.03.12;110.0400;110.5600;3024
2019.03.13;110.5900;109.9700;2009
2019.03.14;109.1500;110.1200;2364
2019.03.15;109.9300;110.2100;2650
2019.03.18;110.3100;111.6000;2094
2019.03.19;112.0200;112.2700;2312
2019.03.20;109.8500;109.9800;2329
2019.03.21;111.0200;111.2400;1376
2019.03.22;110.2600;108.9900;1710
2019.03.25;108.8100;109.3800;1147
2019.03.26;110.3400;110.8600;1785
2019.03.27;111.2800;111.1000;1204
2019.03.28;112.3800;113.0200;1874
2019.03.29;113.5700;113.0000;1447
2019.04.01;113.7300;113.6800;1922
2019.04.02;113.7300;113.0900;1540
2019.04.03;113.8600;113.2900;1175
2019.04.04;113.2300;113.5800;1599
2019.04.05;113.6500;114.0500;1043
2019.04.08;113.2400;113.9200;1436
2019.04.09;113.3400;112.6300;1714
2019.04.10;112.7400;113.7600;1525
2019.04.11;114.0800;114.4000;920
2019.04.12;114.8900;116.3100;2135
2019.04.15;116.3500;116.0300;1955
2019.04.16;115.8300;116.3800;1270
2019.04.17;116.8300;113.6500;1498
2019.04.18;112.5100;113.3700;2351
2019.04.22;113.2500;113.8800;1267
2019.04.23;114.1400;115.9900;1783
2019.04.24;112.7800;110.7800;5640
2019.04.25;109.9200;108.4200;3277
2019.04.26;108.8800;109.1800;2146
2019.04.29;109.1800;109.6100;1970
2019.04.30;109.8100;110.6700;1929
2019.05.01;110.6200;108.5000;1507
2019.05.02;108.6200;109.5900;1457
2019.05.03;110.1800;111.4300;890
2019.05.06;110.0000;109.4100;1273
2019.05.07;108.3000;106.8300;3257
2019.05.08;106.8300;106.2300;2245
2019.05.09;105.3400;105.5500;2184
2019.05.10;105.2400;106.2600;2845
2019.05.13;104.4700;103.7700;2236
2019.05.14;103.6300;103.4000;2451
2019.05.15;102.9900;103.0400;1192
2019.05.16;103.1000;102.7900;2677
2019.05.17;102.0200;101.6500;2107
2019.05.20;100.7800;99.9300;1533
2019.05.21;100.7200;101.4900;1764
2019.05.22;101.5800;100.6000;1601
2019.05.23;99.6300;99.6700;1260
2019.05.24;100.1600;101.2900;2711
2019.05.28;101.2600;101.7900;2619
2019.05.29;101.2900;102.5400;3957
2019.05.30;102.6500;103.6500;4390
2019.05.31;102.7200;104.0600;2865
2019.06.03;104.0000;105.7400;2178
2019.06.04;105.8200;107.6500;1978
2019.06.05;108.5000;109.1200;1591
2019.06.06;109.0400;110.2500;2026
2019.06.07;110.9700;112.1500;1389
2019.06.10;112.7300;112.5200;952
2019.06.11;113.4400;112.2600;1938
2019.06.12;112.1200;111.8100;1607
2019.06.13;111.9200;111.0800;1420
2019.06.14;111.1200;110.3800;1600
2019.06.17;110.4800;110.1300;1805
2019.06.18;110.8000;110.5100;1306
2019.06.19;110.5600;111.4300;1575
2019.06.20;112.6300;112.8700;1509
2019.06.21;113.2500;112.1100;1513
2019.06.24;111.9900;111.7100;1088
2019.06.25;111.9700;111.9200;1437
2019.06.26;111.8800;110.3800;1685
2019.06.27;110.9200;113.0000;1080
2019.06.28;113.3000;115.5500;2740
2019.07.01;116.8300;118.5100;2713
2019.07.02;118.5600;119.4200;2198
2019.07.03;119.5900;120.1500;1015
2019.07.05;119.4700;120.4300;1291
2019.07.08;120.0400;117.7100;1852
2019.07.09;117.3000;115.6500;2502
2019.07.10;116.0000;114.5900;1653
2019.07.11;114.8000;115.2900;1668
2019.07.12;113.9500;113.4800;4590
2019.07.15;113.8900;113.4500;2265
2019.07.16;113.8900;115.8400;1677
2019.07.17;115.5200;113.2600;1265
2019.07.18;113.0600;113.8500;900
2019.07.19;114.2700;113.8600;1148
2019.07.22;113.6600;112.3600;2359
2019.07.23;112.3100;117.0800;4311
2019.07.24;117.4400;116.5900;2641
2019.07.25;116.8200;115.9200;2058
2019.07.26;115.9000;117.2000;1706
2019.07.29;117.1600;116.4300;1360
2019.07.30;115.8100;116.0900;1015
2019.07.31;115.8500;114.8700;1763
2019.08.01;115.0300;111.0000;2916
2019.08.02;110.8900;110.8500;1836
2019.08.05;109.4500;108.3400;1596
2019.08.06;109.0000;110.0400;1779
2019.08.07;108.8800;111.0300;2163
2019.08.08;111.3500;114.6800;2356
2019.08.09;114.3900;113.2600;1688
2019.08.12;112.7500;112.0700;954
2019.08.13;111.9500;112.7400;2372
2019.08.14;111.2600;109.8900;1524
2019.08.15;110.8700;111.6700;2035
2019.08.16;112.6300;113.9800;1810
2019.08.19;115.4900;115.7400;1956
2019.08.20;115.5800;114.1200;1278
2019.08.21;114.7600;114.9400;1107
2019.08.22;115.4500;114.9400;938
2019.08.23;114.5000;110.7500;2080
2019.08.26;111.7000;111.7100;1083
2019.08.27;112.2100;112.7900;1659
2019.08.28;112.8500;113.6600;968
2019.08.29;114.7200;115.0000;877
2019.08.30;115.8000;115.5300;1468
2019.09.03;114.6300;112.6700;1368
2019.09.04;113.6800;114.3800;903
2019.09.05;115.3600;113.9600;1383
2019.09.06;114.3900;114.1800;1229
2019.09.09;114.5900;113.4300;1024
2019.09.10;113.1800;113.6800;1752
2019.09.11;113.8800;113.0000;1755
2019.09.12;113.0600;113.0000;2341
2019.09.13;115.7600;116.4800;2998
2019.09.16;115.2400;112.9400;1953
2019.09.17;112.6700;114.6900;1441
2019.09.18;114.1400;114.3900;1178
2019.09.19;114.0000;114.0200;1467
2019.09.20;114.2000;112.8400;1817
2019.09.23;112.5500;113.2100;1212
2019.09.24;114.0500;112.3300;1466
2019.09.25;112.5900;112.2700;1323
2019.09.26;112.5100;112.5700;1036
2019.09.27;113.4200;112.8300;694
2019.09.30;113.0200;113.5700;826
2019.10.01;114.1200;111.6600;1227
2019.10.02;111.2200;109.4600;1154
2019.10.03;108.6800;109.4000;1417
2019.10.04;110.3100;111.3900;1483
2019.10.07;111.3300;111.1900;1049
2019.10.08;110.0200;108.8900;1121
2019.10.09;110.3000;110.5200;844
2019.10.10;110.1400;111.2900;834
2019.10.11;112.8600;113.4200;1397
2019.10.14;113.4700;112.9300;1014
2019.10.15;113.6000;113.6300;1164
2019.10.16;113.9900;114.0900;2195
2019.10.17;114.4900;115.3400;1826
2019.10.18;114.7200;116.9000;1690
2019.10.21;117.8500;118.5000;2329
2019.10.22;118.5100;118.4400;2643
2019.10.23;121.6700;126.1200;7301
2019.10.24;124.5000;126.1900;3279
