date;open;close;tickvol
2019.01.02;90.4500;88.7700;2829
2019.01.03;88.6500;89.0900;3932
2019.01.04;88.7400;89.7900;2702
2019.01.07;89.4900;88.8500;2274
2019.01.08;88.8400;90.1400;1841
2019.01.09;90.0000;88.9800;3739
2019.01.10;89.3100;90.7800;2507
2019.01.11;90.9400;90.6300;2263
2019.01.14;90.2800;90.4000;2454
2019.01.15;90.3300;91.4300;3041
2019.01.16;91.1300;91.7900;1995
2019.01.17;91.5400;92.5900;1828
2019.01.18;92.8500;92.6800;1807
2019.01.22;92.4200;92.7800;2026
2019.01.23;92.7000;94.2500;2311
2019.01.24;94.3800;94.6400;1647
2019.01.25;94.1600;93.2600;2350
2019.01.28;93.3400;93.0200;1640
2019.01.29;93.2000;93.0800;2011
2019.01.30;92.9500;93.7600;4570
2019.01.31;94.0200;95.7200;3562
2019.02.01;95.9200;95.2000;4129
2019.02.04;94.8900;95.5700;2890
2019.02.05;95.5000;95.8400;2141
2019.02.06;95.6200;95.1400;1709
2019.02.07;95.1900;96.8600;3035
2019.02.08;96.6500;97.7500;2205
2019.02.11;97.0600;97.6000;1804
2019.02.12;97.8700;97.6800;1819
2019.02.13;97.3000;97.4400;2013
2019.02.14;97.7400;97.2500;2612
2019.02.15;97.7400;98.0500;2633
2019.02.19;97.9000;98.6900;2385
2019.02.20;97.7300;98.6500;4336
2019.02.21;98.5100;100.3800;4010
2019.02.22;100.8700;100.9800;2428
2019.02.25;101.0500;100.8800;2235
2019.02.26;101.2400;101.0400;1629
2019.02.27;100.3100;101.0600;2131
2019.02.28;101.0300;101.6300;2109
2019.03.01;101.4600;101.4500;2012
2019.03.04;101.4400;101.7300;3972
2019.03.05;101.7900;101.2600;4059
2019.03.06;101.3700;101.0800;3120
2019.03.07;101.3900;101.6700;4461
2019.03.08;101.6900;102.5400;3176
2019.03.11;103.3300;104.0300;5317
2019.03.12;104.4400;104.9200;3685
2019.03.13;105.0200;105.1100;3928
2019.03.14;105.2800;104.9900;4293
2019.03.15;105.4600;105.8100;6492
2019.03.18;105.7300;105.1300;3494
2019.03.19;104.5900;104.3500;2725
2019.03.20;104.1700;104.6900;2367
2019.03.21;105.6700;106.2200;1984
2019.03.22;107.0900;106.7800;2442
2019.03.25;106.7000;106.6700;3907
2019.03.26;107.1300;107.1300;2664
2019.03.27;106.2400;105.8700;2846
2019.03.28;105.0200;104.3200;3421
2019.03.29;104.3900;104.1500;3714
2019.04.01;104.4300;103.8500;3787
2019.04.02;104.1500;103.7100;3529
2019.04.03;103.6000;104.0300;2743
2019.04.04;104.0900;103.8600;4066
2019.04.05;103.7500;104.9200;2716
2019.04.08;104.7000;104.1900;2351
2019.04.09;104.0000;104.5600;2179
2019.04.10;104.8600;104.0600;2480
2019.04.11;104.0400;104.3200;2890
2019.04.12;104.0500;104.1600;2906
2019.04.15;104.4300;103.9600;2511
