date;open;close;tickvol
2019.01.02;0.9900;1.0800;1468
2019.01.03;1.0800;1.0500;745
2019.01.04;1.0500;1.0800;790
2019.01.07;1.1300;1.1400;3142
2019.01.08;1.1700;1.0700;2171
2019.01.09;1.0700;1.1300;1608
2019.01.10;1.1100;1.1500;2423
2019.01.11;1.1600;1.1000;1726
2019.01.14;1.1100;1.0500;2892
2019.01.15;1.0500;1.0800;1318
2019.01.16;1.1000;1.0900;1185
2019.01.17;1.0900;1.0000;1168
2019.01.18;1.0400;1.0100;1235
2019.01.22;1.0200;0.9600;1718
2019.01.23;0.9800;0.9600;1481
2019.01.24;0.9700;0.9600;1268
2019.01.25;0.9700;1.0300;1208
2019.01.28;1.0100;0.9800;787
2019.01.29;1.0100;1.0200;674
2019.01.30;1.0200;1.0300;535
2019.01.31;1.0400;1.0700;1283
2019.02.01;1.0500;1.1100;1163
2019.02.04;1.1100;1.1700;1399
2019.02.05;1.1700;1.1700;1462
2019.02.06;1.1800;1.3500;4058
2019.02.07;1.3300;1.2100;3115
2019.02.08;1.2200;1.2500;1482
2019.02.11;1.2700;1.3100;2163
2019.02.12;1.3200;1.2800;3289
2019.02.13;1.3100;1.2100;4336
2021.01.26;175.5700;175.9900;2479
2021.01.27;171.4100;169.6600;2244
2021.01.28;166.0000;163.8500;2669
2021.01.29;161.5000;164.6800;1253
2021.02.01;165.2800;166.1600;1293
2021.02.02;171.0000;166.3900;1436
2021.02.03;167.0500;167.7800;695
2021.02.04;169.7900;174.8500;1399
2021.02.05;178.2200;177.0600;696
2021.02.08;178.8600;182.2000;1595
2021.02.09;180.2400;183.2400;992
2021.02.10;184.8600;188.0100;1661
2021.02.11;190.0000;203.6300;8747
2021.02.12;201.3000;195.6800;2907
2021.02.16;198.8700;175.9200;4807
2021.02.17;177.1700;178.2500;2398
2021.02.18;176.2000;173.7500;1497
2021.02.19;176.6300;177.1900;1634
2021.02.22;177.4600;169.9000;1719
2021.02.23;164.0300;169.0500;2307
2021.02.24;170.9800;161.1500;3192
2021.02.25;161.5100;159.4200;1929
