date;open;close;tickvol
2019.01.02;93.8700;95.6600;11320
2019.01.03;94.7900;93.4200;12530
2019.01.04;95.3700;97.6400;11847
2019.01.07;97.6300;98.1700;9048
2019.01.08;98.8800;98.6600;7155
2019.01.09;98.7400;98.8300;8840
2019.01.10;98.4500;98.2100;12079
2019.01.11;97.8700;98.5500;7096
2019.01.14;97.7600;98.4400;10039
2019.01.15;98.6100;97.9900;14683
2019.01.16;98.9400;99.4000;12566
2019.01.17;99.4800;99.5000;14499
2019.01.18;98.1500;100.4700;28308
2019.01.22;99.8500;99.8200;10887
2019.01.23;99.9300;99.7000;9453
2019.01.24;99.5900;99.7300;9636
2019.01.25;100.4300;100.7400;8490
2019.01.28;100.0700;100.3900;9400
2019.01.29;100.9400;100.9700;7583
2019.01.30;101.0900;102.6800;9583
2019.01.31;102.0000;102.6900;8958
2019.02.01;102.4100;103.0600;10609
2019.02.04;103.0400;103.4300;6557
2019.02.05;103.6300;103.9000;6035
2019.02.06;103.8500;104.9900;10988
2019.02.07;104.0600;104.4100;9525
2019.02.08;103.7300;104.5200;7075
2019.02.11;104.9500;105.4100;9565
2019.02.12;106.2700;107.0100;10156
2019.02.13;107.5500;107.5600;9193
2019.02.14;107.0000;106.6200;7105
2019.02.15;107.3300;107.3800;8379
2019.02.19;107.0000;106.5000;9895
2019.02.20;106.5700;106.7900;8386
2019.02.21;106.7400;106.6200;7660
2019.02.22;106.9800;107.4300;6767
2019.02.25;108.2000;106.9400;10770
2019.02.26;106.5600;106.9400;7207
2019.02.27;106.8600;107.4300;6288
2019.02.28;107.6100;107.7500;7864
2019.03.01;108.4000;108.9200;8214
2019.03.04;109.5600;109.0300;9281
2019.03.05;109.0300;108.8500;7594
2019.03.06;108.9300;108.9700;8380
2019.03.07;108.5600;107.8500;7878
2019.03.08;106.7900;107.9800;5766
2019.03.11;109.2500;109.5600;8191
2019.03.12;110.5700;110.4300;10353
2019.03.13;110.9800;112.1400;11013
2019.03.14;112.6700;112.3500;10030
2019.03.15;112.9300;113.5200;6294
2019.03.18;114.0500;113.5500;6881
2019.03.19;113.6900;112.6700;8230
2019.03.20;111.9800;110.7700;7190
2019.03.21;110.7800;111.8200;6880
2019.03.22;109.8600;109.4600;10498
2019.03.25;109.1400;109.0400;9808
2019.03.26;110.1600;109.5000;9029
2019.03.27;109.7600;108.9800;12002
2019.03.28;109.1300;109.1600;8066
2019.03.29;110.0000;109.3000;9931
2019.04.01;110.2900;111.6900;14960
2019.04.02;111.0900;110.9900;11455
2019.04.03;111.8000;110.5400;11844
2019.04.04;110.3300;110.1200;10738
2019.04.05;110.4800;110.9300;11303
2019.04.08;110.6200;110.6800;15335
2019.04.09;110.0100;109.8600;8737
